Company,MSE,MAE,R2,MAPE
ABRA.TA,3.259394705,1.396106245,0.995150983,0.004550417
ACCL.TA,6.197781321,1.207527753,0.988393554,0.008176471
ACKR.TA,4517.481989,59.80022297,0.279020249,0.071377208
ACRO.TA,1062.296893,24.62342315,0.989834749,0.004101068
ADGR.TA,15.34308034,3.362046633,0.993341454,0.006579888
ARDM.TA,11.08145099,2.589354091,0.968139648,0.040192995
AFHL.TA,12987.61027,92.36366698,0.999262895,0.00638669
AFPR.TA,16565.17417,101.5384071,0.935557809,0.00594888
AFRE.TA,93699.19995,229.3850478,0.97300885,0.0085549
ARPT.TA,155.564491,9.598274318,0.99831894,0.001654193
ARTS.TA,284.0513462,8.832428782,0.675641559,0.126325959
ALAR.TA,277.4939157,14.0641479,0.966352235,0.039410695
ALBA.TA,1192.922755,29.1714041,0.966212604,0.015808812
ALMD.TA,0.088251188,0.24055041,0.988311157,0.006843664
ALLT.TA,9896.501283,82.70669806,0.977309296,0.040678823
ALMY.TA,51684.14431,203.6466603,0.368953077,1.698561294
AMDA.TA,56.52957635,6.571153688,0.570801858,0.041397302
ALMA.TA,285.9408099,9.251657609,0.975511965,0.00922915
ALHE.TA,636.5870726,20.95835851,0.987506752,0.006757943
ALRPR.TA,53374.8286,191.9080545,0.990047605,0.010732338
ALUMA.TA,4.873815517,1.166552393,0.78775727,0.025508107
AMAN.TA,60.39290326,5.839685365,0.99588118,0.003608067
AMD.TA,124.2501759,7.724690514,0.898434909,0.008359736
AMRK.TA,362.5763526,13.4030312,0.986073646,0.004550875
AMOT.TA,394.5886875,17.8977338,0.990310826,0.009197255
AMRM.TA,11791.80031,87.51742161,-1.245106892,0.027969315
ANGL.TA,5042.471678,56.25317303,0.940443027,0.01790973
APLP.TA,475.8945555,16.97675389,0.925330272,0.052306003
AQUA.TA,1034.328621,24.58120099,0.322696834,0.160842262
ARD.TA,91.75812618,6.047272339,0.99729141,0.001188838
ARAD.TA,4494743.476,1043.477564,0.875920916,5.237848478
ARAN.TA,275.1727757,15.0558459,0.896139245,0.007868038
ARBE.TA,71763.6544,226.9386386,-1.477739958,0.450836866
ARGO.TA,9696.112419,57.47206437,0.975319029,0.005591809
ARIN.TA,74.99255692,4.320334,0.836124682,0.019505948
ARYT.TA,152336.0315,258.2983498,0.244867717,0.191200164
ARF.TA,64090.10385,210.0597748,0.21897882,0.031678697
ASHO.TA,384214.6485,521.0426262,-0.151052996,0.100405374
ASHG.TA,3404.824118,31.53204281,0.989830111,0.005161237
ASGR.TA,48.06263569,5.76218207,0.993261505,0.008399777
AUDC.TA,3642.708997,48.8107043,0.960593106,0.013843718
AUGN.TA,4967.598443,55.71917534,0.65437932,0.132291965
AURA.TA,10791.71194,79.5451753,0.853025611,0.036961846
AUSA-M.TA,1388.122762,23.2822706,0.693192281,3.705730078
AUIS.TA,3879.950554,36.1370997,0.842485944,0.09327644
AMX.TA,2.027900435,0.910905936,0.88018631,0.038465883
AVER.TA,1219.22488,27.58307869,0.934978809,0.026083441
AVGD.TA,43569.17341,155.8619154,0.643158821,0.064048339
AVGL.TA,1.826900345,1.063043412,0.983784829,0.007382588
