Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
FGAS.TA,LSTM,119.9390627,9.916312412,0.950893474,0.008776915,-1.629529926,,,,
FIBI.TA,LSTM,42497.42492,157.8564857,0.981953745,0.008659377,-1.220653226,,,,
FIBIH.TA,LSTM,149528.5549,288.6939998,0.946634521,0.014575937,-1.059862705,,,,
FLYS.TA,XGBoost,4971.069127,65.13081706,-10.01941435,0.9637222867,-1,,,,
FORTY.TA,LSTM,11129.76515,75.38963591,0.997275557,0.002379503,-1.182119213,,,,
FOX.TA,GRU,41100.05479,150.9058626,0.985166266,0.005195412,-0.7609125485,,,,
FRDN.TA,LSTM,3244.086165,43.19376165,0.990489643,0.008565056,-1,,,,
FRSX.TA,GRU,9.109458759,1.660147873,0.493484911,0.127384664,-1,,,,
FTAL.TA,LSTM,49387.62694,164.983323,0.997651905,0.003346719,-1,,,,
G107.TA,LSTM,21.51988472,2.629139876,0.254969419,0.048170082,-1.038804032,,,,
GAGR.TA,GRU,53.55269032,5.31104079,0.988989537,0.01462018,-1.001849335,,,,
GAON-M.TA,GRU,85272.27687,133.3993386,0.519632417,0.061910358,-1.221717513,,,,
GCT.TA,LSTM,139.327104,8.885571747,0.983052074,0.006568348,-1.091732555,,,,
GEFR.TA,LSTM,0.222140402,0.376431877,0.979939345,0.005579011,-0.698678465,,,,
GFC-M.TA,GRU,2410.052605,41.21480642,0.992024868,0.652213882,-1.00657646,,,,
GIBUI.TA,XGBoost,0.274811618,0.368869179,0,0.4834458369,-0.8628511317,,,,
GILT.TA,GRU,195.8328003,9.420075616,0.99781255,0.004268175,-1.284399524,,,,
GIVO.TA,LightGBM,0.007915207,0.075389159,-5.086609179,0.3087256674,-1,,,,
GIX.TA,LSTM,1.476605125,0.890088138,0.888763682,0.052412823,-0.7849943764,,,,
GKL.TA,LSTM,1.05526031,0.554624364,0.984209129,0.007172901,-1.118424745,,,,
GLEN-M.TA,GRU,0.0000626,0.005661497,-0.227985596,0.184366639,-1.152076081,,,,
GLRS.TA,LSTM,959352.2841,680.150463,0.908235376,0.012876955,-1,,,,
GLTC.TA,XGBoost,127.0676655,10.0992335,-4.594442924,0.5446702726,-1,,,,
GLTL.TA,LSTM,0.360075858,0.442713946,0.994416135,0.006236876,-1.232558227,,,,
GMLA.TA,XGBoost,14290.79062,66.84285364,0.205834889,1.22212803,-0.6,,,,
GNCL.TA,GRU,113.5278293,6.898151198,-1.423173771,0.127433656,-0.952864874,,,,
GNGR.TA,LSTM,155.4790198,7.054509578,0.832014314,0.00749012,-1.217181756,,,,
GNRS.TA,LSTM,0.53404024,0.659659297,0.989964425,0.008671769,-1,,,,
GOHO.TA,LSTM,4691.231025,51.03606851,0.870222662,0.022415018,-1,,,,
GOLD.TA,XGBoost,36557.99664,109.7565768,0.96313865,0.008330418983,-1,,,,
GOLF.TA,LSTM,18.57315287,3.229266568,0.996242675,0.00507396,-1.185731764,,,,
