Company,MSE,MAE,R2,MAPE
EXPO.TA,310979.4872,423.8814789,0.625499874,0.062792097
FTAL.TA,49387.62694,164.983323,0.997651905,0.003346719
FEAT.TA,94.95246068,7.801263563,0.966691959,0.746213566
FIBI.TA,42497.42492,157.8564857,0.981953745,0.008659377
FIBIH.TA,149528.5549,288.6939998,0.946634521,0.014575937
FGAS.TA,119.9390627,9.916312412,0.950893474,0.008776915
FLYS.TA,45.6835832,2.951725275,0.718569494,1.282869475
FBRT.TA,22157.85905,81.81472634,0.990000756,0.005438833
FRSX.TA,18.86914971,3.737171619,-0.049185171,0.332756815
FORTY.TA,11129.76515,75.38963591,0.997275557,0.002379503
FOX.TA,39492.01432,156.3388967,0.985746636,0.005203145
FRDN.TA,3244.086165,43.19376165,0.990489643,0.008565056
GOSS.TA,7.028796917,1.902219344,0.994737236,0.004053428
GCT.TA,139.327104,8.885571747,0.983052074,0.006568348
GPGB-M.TA,244221.7459,401.6718268,0.584578256,16.15356017
GLTC.TA,909.8146737,10.86788136,0.637677564,1.838630827
GMLA.TA,11763.58223,56.73347375,0.782173677,6.021027835
GSFI.TA,9865.937017,84.39911425,0.871473251,0.023885518
GAGR.TA,52.29356598,5.512288723,0.989248414,0.014821478
GAON-M.TA,299023.2416,475.2903946,-0.684499079,0.203455887
GVYM.TA,208.7885939,12.12610597,0.976545761,0.004084333
GEFR.TA,0.222140402,0.376431877,0.979939345,0.005579011
GNCL.TA,245.8925163,6.644071525,-4.248407372,0.113538159
GNRS.TA,0.53404024,0.659659297,0.989964425,0.008671769
GFC-M.TA,1749.444056,38.41804427,0.994210895,1.260342293
GIBUI.TA,0.40708774,0.547529563,0.468920495,0.381978544
GILT.TA,491.0191526,18.12560093,0.994515323,0.007975496
GLTL.TA,0.360075858,0.442713946,0.994416135,0.006236876
GNGR.TA,155.4790198,7.054509578,0.832014314,0.00749012
GIVO.TA,0.979115406,0.770362079,0.677034161,0.034557166
GIX.TA,1.476605125,0.890088138,0.888763682,0.052412823
GKL.TA,1.05526031,0.554624364,0.984209129,0.007172901
GLEN-M.TA,8.58E-05,0.006448808,-0.683177852,0.206981921
GLRS.TA,959352.2841,680.150463,0.908235376,0.012876955
GOTO.TA,3116.226448,21.38989743,-8.081605702,0.053288491
GRIN.TA,1706.327097,32.91176967,0.954400014,0.024402373
GOLD.TA,53905.21791,154.3895222,0.989900117,0.00880464
GOHO.TA,4691.231025,51.03606851,0.870222662,0.022415018
GOLF.TA,18.57315287,3.229266568,0.996242675,0.00507396
GRAC.TA,2188.389155,39.20674122,0.454720384,0.024168137
G107.TA,21.51988472,2.629139876,0.254969419,0.048170082
GUID.TA,1119.687953,18.16298558,0.980396111,1.176241519
HDST-M.TA,207.9516811,7.279826193,-1.149970647,0.165480317
HGG.TA,351.4492703,14.76053941,0.997618575,0.006598466
HGGE.TA,193.2200997,9.723780398,0.942849921,0.014035949
HMAM.TA,12.90657732,2.186304566,0.953678102,0.005568269
MSBI.TA,1.095381534,0.674703639,0.991983472,0.005382458
HAMAT.TA,577.0985191,16.7636949,0.990176805,0.010200348
HARL.TA,97197.32374,200.3932709,0.896636307,0.034860161
HICN.TA,14128.49221,57.47031499,-12.94665115,1.196344833
HLAN.TA,58975.01074,211.1091663,0.971686211,0.009509281
HIPR.TA,686.7147505,24.64550753,0.943372795,0.013401565
HRON.TA,9447305.896,2165.045675,0.965214979,0.009090699
HIVE.TA,0.047163313,0.186557235,-0.824171397,0.191364823
HOD.TA,1097.516208,25.94762707,0.997241947,0.005616724
HLMS.TA,115.914929,8.365538311,0.96165683,0.013718265
HMGS.TA,17883.05145,66.6935196,-3.133515606,0.413232427
HUMX.TA,45.08862747,5.096352675,-2.732772734,0.157436776
IARG.TA,51.94899593,5.419256863,0.431931993,0.065876633
ICL.TA,112.3418127,8.014728199,0.998329848,0.004451315
ICON.TA,211.2000999,13.65225967,-0.370383752,0.030696928
IDNT.TA,2026.893495,31.18007755,0.873114933,0.082957593
IDIN.TA,114534.8778,233.6489569,0.956425854,0.015281929
IDMO.TA,606.4012115,11.55229391,0.41591296,0.028503435
IES.TA,30088.99432,142.6004957,0.994521279,0.005939329
INTO.TA,5915.901414,58.68705706,0.909309647,0.125408498
ILDR.TA,65.55699668,5.071605526,0.971053213,0.00646183
ILX.TA,2128.392892,31.77063086,0.99421276,0.004440878
ISI.TA,140.6124761,10.07288631,0.977396947,0.007335016
IMCO.TA,15585.54288,92.79336478,0.929336184,0.024309877
IMED.TA,308020.5036,357.1434536,-1746.976612,8.427502255
INRM.TA,57.18363294,5.729974345,0.998790285,0.003526822
ININ.TA,84.93952105,5.274709603,0.574332944,0.020666894
INCR.TA,53.02820711,4.358860424,0.988746759,0.007427163
INTR.TA,68782.21042,199.2272936,0.201958197,0.030369328
IGLD.TA,774108399.4,13396.46257,-105619.102,26.12361379
ISCN.TA,603.6844322,21.74043748,0.946865874,0.014580065
ILDC.TA,117.9032586,8.677799587,0.997244456,0.002537972
ISOP.TA,3.02008826,0.810193888,0.991505939,0.007928762
ISHI.TA,7380.939943,57.19870707,0.998275978,0.005536135
ISRG.TA,5.389937062,2.028680929,0.907574444,0.009690029
ISRA.TA,28.71240709,4.750144008,0.935235584,0.024070538
ISRS.TA,145062.8212,310.9470223,0.996497281,0.003727842
ISRO.TA,8360.438533,66.6531339,0.973658756,0.008065236
ISTA.TA,8238.52059,72.71667256,0.988433422,0.007986278
JCFN.TA,2118.316854,23.59413189,0.897712563,0.010086155
JBNK.TA,884.3843421,22.26473293,0.985145608,0.012909015
JNGO.TA,1369.246342,32.90342759,-3.644665946,0.091772043
KDST.TA,2701.937351,30.0495827,0.984353137,0.024798543
KAFR.TA,489.7358518,16.3891094,0.995396537,0.005727288
KMDA.TA,307.58458,12.6683378,0.995589638,0.005203756
KRDI.TA,36.51389482,5.208910024,0.977060521,0.016363994
KARE.TA,75.35251308,3.219276814,0.98191563,0.005733006
KEN.TA,3754.611231,46.86103451,0.99243154,0.004224629
KRUR.TA,1422.398307,25.4417109,0.997194674,0.00336477
KSTN.TA,37.43553404,4.460293288,0.987626483,0.006516751
KLIL.TA,10528.49875,78.01577681,0.998814617,0.003309591
KNFM.TA,2340.773571,39.37008147,0.939708381,0.025596014
LHIS.TA,24880.93808,131.4054612,0.779405144,0.187582809
LAHAV.TA,39.07010535,5.263530467,0.992844921,0.010527957
LPHL.TA,0.87498935,0.706216863,0.90147287,0.006394984
LSCO.TA,8.988848335,2.007510989,0.995701214,0.005508096
LUMI.TA,11193.26178,86.92762252,0.95114475,0.019488377
LEOF.TA,73.80234947,5.078603433,0.9862527,0.014972776
LEVI.TA,132406.3649,275.0155777,0.996861056,0.007317856
LVPR.TA,294609.3433,125.4597262,0.860197414,0.764886535
LBRA.TA,954.066006,24.08573776,0.757003936,0.022418991
LCTX.TA,30.69871484,3.646667062,0.991645997,0.01575621
LPSN.TA,4257.159122,46.47820728,0.235487033,0.111014622
LODZ.TA,61968.55921,234.4497229,0.847149384,0.133591969
LUDN.TA,321.4496672,13.78057535,0.995573874,0.006617751
LUZN.TA,9.387334189,1.966139819,0.962577621,0.007068901
LURO.TA,4182.855681,56.83117805,-2.731327714,0.025400599
MGIC.TA,1823.675725,21.76821506,0.958119896,0.004893962
MLTM.TA,23809.47207,128.038067,0.988573268,0.015263649
MSLA.TA,71.63078746,5.859570439,0.894855863,0.004489449
MSVT.TA,1745.200453,16.35667747,-4.27315952,0.137717178
MTLF.TA,11.42272191,2.779919663,0.963750996,0.007615381
MTRX.TA,3504.208743,51.04678446,0.994028237,0.005961202
MAXO.TA,300.1911225,15.023128,0.978530796,0.012116482
MTRN.TA,80801.09036,78.1825284,-7.477789287,0.085946779
MDPR.TA,7.388530587,1.73044189,0.99815131,0.00284125
MPRS.TA,188.1777303,8.013866756,0.728341332,1.016612338
MDTR.TA,166.2668382,9.122893893,0.992667477,0.008584753
MGOR.TA,11401.00707,89.39799365,0.990020537,0.007921444
MEDN.TA,29036.21235,133.7477902,0.993494144,0.007270988
MLSR.TA,435081.8542,555.9554496,0.908410061,0.017201109
MNIN.TA,538.6119506,20.21364482,0.990446823,0.014931606
MNIF.TA,3471.66968,46.1810498,0.842979867,0.025658338
MNRT.TA,0.233790924,0.340461076,0.998450748,0.001726946
MMHD.TA,191064.8769,310.2473304,0.968513615,0.019719995
CMER.TA,689545.8746,631.372893,-0.10799412,0.189355882
MRHL.TA,40.73151667,3.714243609,0.742479992,0.585574432
MSKE.TA,15.11491224,2.880206149,0.993193512,0.011241206
MGRT.TA,57.63638138,6.431136318,0.995022745,0.010824974
MIA.TA,32.80139271,2.765279972,0.953085826,0.04759813
MCLL.TA,832.5994077,22.15569591,0.937791359,0.020628264
MCMN.TA,29700.4045,135.676696,0.996495214,0.005561484
MCRNT.TA,127.9588284,5.17324938,0.959115612,0.020657501
MGDL.TA,381.7199549,15.99985739,0.959493625,0.022655423
MIFT.TA,911.768459,19.51757574,-13.13267963,0.103080076
MLD.TA,1.37E-05,0.002856604,0.538181674,0.112487114
MSHR.TA,12.99361197,2.977559492,0.979790511,0.004118083
MVNE.TA,19.04746742,3.654930601,0.996403894,0.003451247
MISH.TA,1409953.501,656.6790245,0.801142054,0.030942837
MZTF.TA,104853.6282,282.4151795,0.919639384,0.017125702
MLRN.TA,68.32945702,6.780019331,0.987318257,0.008749689
MDIN.TA,10.07797469,2.491149393,0.964929255,0.015514833
MRG.TA,375.6763041,16.86675762,0.977133595,0.014167652
MYDS.TA,1.611810709,0.763387653,0.977671858,0.214863352
NFTA.TA,1236.39348,19.24982226,0.94418369,0.008092115
NVPT.TA,290690.001,382.8950042,0.833782566,0.046676989
NAWI.TA,55501.19985,167.1191774,0.872922551,0.038767451
NYAX.TA,24194.68118,116.141454,0.989805328,0.009312563
NTGR.TA,289.4045107,12.90682803,0.991838996,0.008954371
NTNB.TA,34.46494276,4.736681892,0.614663835,0.017864842
NTO.TA,17645.64424,89.27551774,0.997902019,0.008058538
NTML.TA,14803.81488,104.7693437,0.985115388,0.012483544
NWMD.TA,609.75117,20.30304845,0.9664453,0.01645288
NXSN.TA,150868.5416,251.5975504,0.893568754,0.034348464
NXTG.TA,8.378982373,1.755667577,0.954544859,0.021351916
NXTM.TA,89.93959062,6.543027356,0.995012919,0.008096941
NXFR.TA,69602.63818,200.1992729,-117.6593669,1.310150727
NXGN.TA,28.14037286,3.530560766,-0.002766432,0.052161259
NICE.TA,222257.1881,372.0999728,0.989817515,0.006136362
NISA.TA,347.5030161,11.72627286,0.980479161,0.008862923
NOFR.TA,122.4048467,8.310717293,0.998354212,0.000945419
NSTR.TA,1072.784584,29.02989711,0.9537931,0.023206768
NVMI.TA,8552636.904,1208.622829,0.886474726,0.014774807
NVLG.TA,1.707272651,0.996976888,0.99158901,0.005951622
NRGN.TA,154.1239085,9.709358324,0.864210199,0.030541714
NURI.TA,14321.21235,67.45248618,-2.209456461,0.101164165
ORTC.TA,2313.426785,36.15547096,0.856384592,0.042701159
ONE.TA,14376.06128,100.2019044,0.977148931,0.015195865
OPAL.TA,11.3699474,2.897235314,0.987169161,0.013377708
OPCE.TA,188.9441158,9.509115411,0.991324338,0.003141309
OPK.TA,209.732715,6.804834355,0.851483056,0.012092597
ORAD.TA,1.120182585,0.976522864,0.970525392,0.014516616
ORMP.TA,320.7555141,13.54151829,0.851435286,0.01568689
ORBI.TA,12758.70032,81.28083697,0.923881166,0.026177456
ORIN.TA,1087.597656,20.47269324,0.981822059,0.009056957
