,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
SPNS.TA,"[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[None, None, None]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]","[0.0, -2.47, 19.17]"
SHAN.TA,"[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[None, None, None]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]","[0.0, -1.47, -2.41]"
SPEN.TA,"[None, None, None]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[None, None, None]","[None, None, None]","[0.0, 0.89, 0.49]","[0.0, 0.89, 0.49]","[None, None, None]","[0.0, 0.89, 0.49]"
SAE.TA,"[None, None, None]","[None, None, None]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[0.0, 0.95, 1.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.95, 1.25]"
SKLN.TA,"[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[None, None, None]","[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[0.0, 0.28, 31.34]","[None, None, None]","[0.0, 0.28, 31.34]","[None, None, None]","[0.0, 0.28, 31.34]","[None, None, None]","[0.0, 0.28, 31.34]"
SOLR.TA,"[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[0.0, 2.79, 8.91]","[None, None, None]","[0.0, 2.79, 8.91]","[None, None, None]","[0.0, 2.79, 8.91]","[None, None, None]","[None, None, None]"
SCC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
STRS.TA,"[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[None, None, None]","[None, None, None]","[0.0, 1.77, -1.29]","[0.0, 1.77, -1.29]","[None, None, None]","[0.0, 1.77, -1.29]"
SMT.TA,"[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[None, None, None]","[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[0.0, 2.42, 10.9]","[None, None, None]","[0.0, 2.42, 10.9]","[None, None, None]","[None, None, None]","[0.0, 2.42, 10.9]","[None, None, None]"
SNFL.TA,"[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[None, None, None]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[0.0, 10.29, 13.54]","[None, None, None]","[0.0, 10.29, 13.54]"
