,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ALRPR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6, 4.41, 12.85]","[0.6, 4.41, 12.85]","[None, None, None]","[0.6, 4.41, 12.85]","[None, None, None]","[0.6, 4.41, 12.85]","[0.6, 4.41, 12.85]","[0.6, 4.41, 12.85]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[0.19, 2.86, 13.31]","[None, None, None]"
AMOT.TA,"[None, None, None]","[-0.63, 2.94, 9.05]","[None, None, None]","[None, None, None]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[None, None, None]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]","[-0.63, 2.94, 9.05]"
APLP.TA,"[-0.8, 3.3, -23.76]","[None, None, None]","[-0.8, 3.3, -23.76]","[-0.8, 3.3, -23.76]","[-0.8, 3.3, -23.76]","[-0.8, 3.3, -23.76]","[None, None, None]","[-0.8, 3.3, -23.76]","[None, None, None]","[-0.8, 3.3, -23.76]","[-0.8, 3.3, -23.76]","[-0.8, 3.3, -23.76]","[None, None, None]","[None, None, None]","[None, None, None]"
ARD.TA,"[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[None, None, None]","[None, None, None]","[0.97, -1.59, 6.0]","[0.97, -1.59, 6.0]","[None, None, None]"
ASHO.TA,"[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[None, None, None]","[-0.67, 15.98, 24.83]","[-0.67, 15.98, 24.83]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[-0.32, -3.54, 6.02]","[-0.32, -3.54, 6.02]","[None, None, None]","[-0.32, -3.54, 6.02]","[-0.32, -3.54, 6.02]","[None, None, None]","[None, None, None]","[-0.32, -3.54, 6.02]","[-0.32, -3.54, 6.02]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[0.31, 6.16, 13.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.31, 6.16, 13.22]","[None, None, None]","[None, None, None]"
AUDC.TA,"[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]","[None, None, None]","[-0.55, 0.04, 0.33]","[-0.55, 0.04, 0.33]"
AVGL.TA,"[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[0.13, 5.85, -6.14]","[None, None, None]","[None, None, None]","[None, None, None]","[0.13, 5.85, -6.14]","[None, None, None]","[0.13, 5.85, -6.14]"
