,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
KAFR.TA,"[0.0, -3.57, -6.66]","[0.0, -3.57, -6.66]","[0.0, -3.57, -6.66]","[0.0, -3.57, -6.66]","[None, None, None]","[0.0, -3.57, -6.66]","[0.0, -3.57, -6.66]","[0.0, -3.57, -6.66]","[None, None, None]","[0.0, -3.57, -6.66]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]","[None, None, None]","[None, None, None]","[0.0, -3.0, -12.44]","[0.0, -3.0, -12.44]"
KRUR.TA,"[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[None, None, None]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[0.0, -5.79, -8.33]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[None, None, None]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[0.0, -1.14, -6.67]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[0.0, -6.63, -12.81]","[0.0, -6.63, -12.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -6.63, -12.81]","[0.0, -6.63, -12.81]","[0.0, -6.63, -12.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LUMI.TA,"[0.0, 2.57, -1.48]","[0.0, 2.57, -1.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.57, -1.48]","[0.0, 2.57, -1.48]","[0.0, 2.57, -1.48]","[0.0, 2.57, -1.48]","[0.0, 2.57, -1.48]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[0.0, -27.5, -19.5]","[None, None, None]","[0.0, -27.5, -19.5]","[None, None, None]","[None, None, None]"
LUZN.TA,"[None, None, None]","[0.0, 24.18, 13.44]","[None, None, None]","[0.0, 24.18, 13.44]","[None, None, None]","[0.0, 24.18, 13.44]","[None, None, None]","[0.0, 24.18, 13.44]","[0.0, 24.18, 13.44]","[0.0, 24.18, 13.44]","[0.0, 24.18, 13.44]","[None, None, None]","[None, None, None]","[0.0, 24.18, 13.44]","[0.0, 24.18, 13.44]"
MTRN.TA,"[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[0.0, -7.13, -17.37]","[None, None, None]","[None, None, None]","[None, None, None]"
MDPR.TA,"[0.0, 0.65, 8.43]","[0.0, 0.65, 8.43]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.65, 8.43]","[0.0, 0.65, 8.43]","[0.0, 0.65, 8.43]","[0.0, 0.65, 8.43]","[None, None, None]","[0.0, 0.65, 8.43]","[None, None, None]","[0.0, 0.65, 8.43]","[None, None, None]","[None, None, None]"
