,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
MLD.TA,"[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[0.0, 148.52, 108.17]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[0.82, 6.89, 18.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.82, 6.89, 18.71]","[0.82, 6.89, 18.71]","[0.82, 6.89, 18.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MYDS.TA,"[None, None, None]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[None, None, None]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[0.97, 1.46, 26.44]","[None, None, None]","[None, None, None]","[0.97, 1.46, 26.44]"
NFTA.TA,"[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[None, None, None]","[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[None, None, None]","[None, None, None]","[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[-2.19, -1.02, 7.31]","[None, None, None]","[None, None, None]","[None, None, None]"
NVPT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NTO.TA,"[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[None, None, None]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[2.15, 5.71, 9.67]","[None, None, None]","[None, None, None]","[None, None, None]","[2.15, 5.71, 9.67]"
NTML.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.29, 2.69, 5.49]","[0.29, 2.69, 5.49]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[None, None, None]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[None, None, None]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[2.74, -0.02, 36.47]","[None, None, None]"
OPK.TA,"[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]","[None, None, None]","[2.58, 29.09, 6.31]","[2.58, 29.09, 6.31]"
ORMP.TA,"[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[None, None, None]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[-1.42, 32.09, 99.05]","[None, None, None]","[-1.42, 32.09, 99.05]","[None, None, None]"
