,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ARBE.TA,"[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[0.0, 2.73, 0.97]","[None, None, None]"
ARF.TA,"[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]","[-3.23, -1.0, -10.18]"
ASHO.TA,"[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[0.26, 0.92, 31.73]","[None, None, None]"
ASHG.TA,"[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]","[-1.67, 10.4, 17.33]"
ASGR.TA,"[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]","[-0.12, 1.93, 7.75]"
AUDC.TA,"[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[-1.08, 0.18, -6.68]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[0.0, 0.0, 10928.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMX.TA,"[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]","[0.0, 1.58, 0.74]"
AVGL.TA,"[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]","[-0.23, 0.74, 4.75]"
AVIA.TA,"[0.18, 5.51, 10.34]","[0.18, 5.51, 10.34]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[-0.85, 7.98, 4.35]","[-0.85, 7.98, 4.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]","[-1.38, 7.8, 14.79]"
