,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
MLTM.TA,"[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[None, None, None]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[None, None, None]","[0.55, 5.18, 11.89]","[0.55, 5.18, 11.89]","[None, None, None]"
MTRX.TA,"[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[None, None, None]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[0.12, 2.41, 9.91]","[None, None, None]","[None, None, None]","[0.12, 2.41, 9.91]","[None, None, None]","[0.12, 2.41, 9.91]"
MLSR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.35, 1.47, 12.69]","[0.35, 1.47, 12.69]","[None, None, None]","[None, None, None]","[None, None, None]","[0.35, 1.47, 12.69]","[None, None, None]","[None, None, None]"
MNIN.TA,"[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[None, None, None]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[1.89, 5.17, 15.16]","[None, None, None]","[1.89, 5.17, 15.16]"
MNIF.TA,"[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[None, None, None]","[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[1.44, 10.03, -3.72]","[None, None, None]"
MNRT.TA,"[None, None, None]","[0.03, 7.65, 4.77]","[None, None, None]","[None, None, None]","[None, None, None]","[0.03, 7.65, 4.77]","[0.03, 7.65, 4.77]","[0.03, 7.65, 4.77]","[0.03, 7.65, 4.77]","[0.03, 7.65, 4.77]","[None, None, None]","[None, None, None]","[0.03, 7.65, 4.77]","[None, None, None]","[0.03, 7.65, 4.77]"
MCRNT.TA,"[0.73, 46.05, 47.55]","[0.73, 46.05, 47.55]","[None, None, None]","[0.73, 46.05, 47.55]","[None, None, None]","[0.73, 46.05, 47.55]","[0.73, 46.05, 47.55]","[0.73, 46.05, 47.55]","[0.73, 46.05, 47.55]","[0.73, 46.05, 47.55]","[None, None, None]","[None, None, None]","[0.73, 46.05, 47.55]","[None, None, None]","[None, None, None]"
MLD.TA,"[2.56, 140.72, 105.36]","[2.56, 140.72, 105.36]","[None, None, None]","[2.56, 140.72, 105.36]","[None, None, None]","[None, None, None]","[None, None, None]","[2.56, 140.72, 105.36]","[2.56, 140.72, 105.36]","[2.56, 140.72, 105.36]","[None, None, None]","[None, None, None]","[2.56, 140.72, 105.36]","[None, None, None]","[None, None, None]"
MZTF.TA,"[None, None, None]","[-0.41, 4.55, 16.46]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.41, 4.55, 16.46]","[-0.41, 4.55, 16.46]","[None, None, None]","[None, None, None]","[-0.41, 4.55, 16.46]","[-0.41, 4.55, 16.46]","[None, None, None]","[None, None, None]"
NXTM.TA,"[0.0, -9.91, 3.66]","[0.0, -9.91, 3.66]","[None, None, None]","[0.0, -9.91, 3.66]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.91, 3.66]","[0.0, -9.91, 3.66]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -9.91, 3.66]","[0.0, -9.91, 3.66]","[0.0, -9.91, 3.66]"
