,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
NYAX.TA,"[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[None, None, None]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[None, None, None]","[0.0, 19.42, 23.76]","[0.0, 19.42, 23.76]","[None, None, None]"
NTML.TA,"[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[None, None, None]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[None, None, None]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]","[None, None, None]","[0.0, 0.41, -15.18]","[0.0, 0.41, -15.18]"
NXFR.TA,"[0.0, -10.27, -26.86]","[0.0, -10.27, -26.86]","[None, None, None]","[None, None, None]","[0.0, -10.27, -26.86]","[0.0, -10.27, -26.86]","[0.0, -10.27, -26.86]","[None, None, None]","[0.0, -10.27, -26.86]","[0.0, -10.27, -26.86]","[0.0, -10.27, -26.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[None, None, None]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]","[0.0, 1.6, -0.27]"
NISA.TA,"[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[0.0, -2.12, -12.69]","[None, None, None]"
NOFR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.37, 10.35]","[0.0, 4.37, 10.35]","[0.0, 4.37, 10.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.37, 10.35]","[0.0, 4.37, 10.35]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[0.0, 6.36, -24.93]","[0.0, 6.36, -24.93]","[None, None, None]","[0.0, 6.36, -24.93]","[None, None, None]","[0.0, 6.36, -24.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.36, -24.93]","[None, None, None]"
ORMP.TA,"[0.0, 20.15, 0.88]","[None, None, None]","[0.0, 20.15, 0.88]","[None, None, None]","[0.0, 20.15, 0.88]","[0.0, 20.15, 0.88]","[0.0, 20.15, 0.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 20.15, 0.88]"
ORIN.TA,"[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[None, None, None]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[None, None, None]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]","[0.0, 1.28, -7.55]"
PAZ.TA,"[0.0, 5.2, -8.01]","[None, None, None]","[None, None, None]","[0.0, 5.2, -8.01]","[0.0, 5.2, -8.01]","[0.0, 5.2, -8.01]","[0.0, 5.2, -8.01]","[None, None, None]","[0.0, 5.2, -8.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
