,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
ELLO.TA,"[0.2297, 0.1108, 0.0744]","[-1.0, -1.0, -1.0]","[-0.1111, 0.0077, 0.0442]","[0.9275, 0.9536, 0.9172]","[0.6639, 0.5451, 0.5086]","[0.1125, -0.0064, -0.0428]","[-0.1417, -0.2606, -0.297]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.2324, 0.2087, 0.1015]","[0.1373, 0.1136, 0.0064]","[0.8873, 0.9111, 0.9817]","[None, None, None]","[None, None, None]","[0.2629, 0.2392, 0.132]","[0.7829, 0.8066, 0.9138]"
EQTL.TA,"[0.0003, 0.0017, -0.0245]","[0.0002, 0.0016, -0.0246]","[None, None, None]","[0.001, 0.0024, -0.0238]","[None, None, None]","[None, None, None]","[0.0003, 0.0017, -0.0245]","[None, None, None]"
FTAL.TA,"[0.0002, -0.023, -0.0921]","[0.0025, 0.0257, 0.0948]","[-0.2968, -0.3201, -0.3892]","[0.001, -0.0222, -0.0913]","[0.0039, -0.0194, -0.0885]","[0.0003, -0.0229, -0.092]","[-0.0002, -0.0234, -0.0925]","[None, None, None]"
FRSX.TA,"[0.1, 0.1807, 0.2052]","[0.2116, 0.1309, 0.1064]","[0.175, 0.0943, 0.0698]","[0.8516, 0.9324, 0.9568]","[None, None, None]","[0.1141, 0.1948, 0.2193]","[0.2662, 0.1854, 0.161]","[None, None, None]"
FORTY.TA,"[0.2606, 0.2638, 0.2291]","[0.1927, 0.1959, 0.1612]","[0.0509, 0.0541, 0.0194]","[0.9918, 0.995, 0.9603]","[0.6387, 0.6419, 0.6072]","[0.2601, 0.2634, 0.2286]","[0.2616, 0.2648, 0.2301]","[0.9914, 0.9882, 0.9771]"
GCT.TA,"[0.2623, 0.1601, 0.1814]","[0.3799, 0.4821, 0.4607]","[-1.0, -1.0, -1.0]","[0.9231, 0.8209, 0.8423]","[None, None, None]","[None, None, None]","[-0.0711, -0.1733, -0.1519]","[None, None, None]"
GNRS.TA,"[None, None, None]","[0.4679, 0.4929, 0.5296]","[0.0143, -0.0106, -0.0473]","[1.0, 0.9751, 0.9384]","[0.8738, 0.8489, 0.8122]","[None, None, None]","[None, None, None]","[0.001, 0.0259, 0.0626]"
GLTL.TA,"[0.2623, 0.1489, 0.0825]","[0.0586, 0.172, 0.2383]","[-0.7778, -0.8912, -0.9575]","[0.9844, 0.871, 0.8046]","[0.843, 0.7296, 0.6633]","[0.2668, 0.1534, 0.0871]","[-0.2275, -0.1141, -0.0477]","[0.0007, -0.1127, -0.1791]"
GOHO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.0669, -0.0657]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, -0.0669, -0.0657]"
MSBI.TA,"[None, None, None]","[None, None, None]","[-0.2885, -0.3173, -0.2998]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9711, 0.9887]"
HAMAT.TA,"[0.2584, 0.3704, 0.4284]","[0.1662, 0.2782, 0.3362]","[None, None, None]","[1.0, 0.888, 0.83]","[None, None, None]","[0.261, 0.373, 0.431]","[0.2569, 0.3688, 0.4269]","[None, None, None]"
HLAN.TA,"[0.0003, -0.0148, -0.0464]","[0.0003, -0.0148, -0.0464]","[None, None, None]","[0.001, -0.0141, -0.0457]","[None, None, None]","[0.0003, -0.0149, -0.0465]","[0.0003, -0.0148, -0.0464]","[None, None, None]"
HIPR.TA,"[0.2053, 0.2165, 0.2057]","[0.2285, 0.2398, 0.229]","[0.063, 0.0743, 0.0635]","[0.9326, 0.9439, 0.933]","[None, None, None]","[0.1888, 0.2001, 0.1892]","[0.1552, 0.1665, 0.1556]","[None, None, None]"
HUMX.TA,"[1.0, 0.7071, 0.1736]","[1.0, 0.7071, 0.1736]","[-1.0, -1.0, -1.0]","[1.0, 0.7071, 0.1736]","[None, None, None]","[1.0, 0.7071, 0.1736]","[1.0, 0.7071, 0.1736]","[None, None, None]"
ICON.TA,"[0.2399, 0.1841, 0.2204]","[0.2487, 0.1929, 0.2292]","[0.3279, 0.2721, 0.3084]","[0.9855, 0.9297, 0.966]","[-1.0, -1.0, -1.0]","[0.2564, 0.2006, 0.2369]","[0.2356, 0.1798, 0.2161]","[None, None, None]"
ILX.TA,"[0.2436, 0.3098, 0.3768]","[0.0873, 0.1535, 0.2205]","[0.1956, 0.2618, 0.3288]","[1.0, 0.9338, 0.8668]","[None, None, None]","[0.2073, 0.2735, 0.3405]","[0.1366, 0.2028, 0.2698]","[None, None, None]"
INRM.TA,"[0.2634, 0.2383, 0.2646]","[0.2734, 0.2484, 0.2746]","[0.3733, 0.3483, 0.3745]","[0.9749, 1.0, 0.9738]","[None, None, None]","[0.2676, 0.2426, 0.2688]","[0.2721, 0.247, 0.2732]","[None, None, None]"
INCR.TA,"[0.2732, 0.1942, 0.5115]","[0.2696, 0.1907, 0.5079]","[-0.0035, 0.0755, -0.2418]","[0.9141, 0.8351, 0.8476]","[0.9627, 0.8837, 0.799]","[0.2265, 0.1475, 0.4648]","[0.1443, 0.0654, 0.3826]","[0.9663, 0.8873, 0.7954]"
ISHI.TA,"[0.2698, 0.3765, 0.2129]","[0.2572, 0.3639, 0.2003]","[0.4962, 0.6028, 0.4392]","[0.9754, 0.8688, 0.9676]","[None, None, None]","[0.2841, 0.3907, 0.2272]","[0.264, 0.3706, 0.207]","[None, None, None]"
ISRG.TA,"[0.001, -0.041, -0.4255]","[0.0011, -0.0409, -0.4254]","[0.2903, 0.2483, -0.1362]","[0.001, -0.041, -0.4255]","[0.0009, -0.0411, -0.4257]","[0.001, -0.041, -0.4255]","[0.001, -0.041, -0.4255]","[None, None, None]"
ISRO.TA,"[0.181, 0.2487, 0.2858]","[0.0049, 0.0727, 0.1098]","[0.0037, 0.0714, 0.1085]","[0.9884, 0.9439, 0.9068]","[0.5783, 0.646, 0.6831]","[0.08, 0.1478, 0.1849]","[0.0169, 0.0846, 0.1217]","[None, None, None]"
