,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
HUMX.TA,"[0.9845, 0.9071, 0.9977]","[0.9845, 0.9071, 0.9977]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ICON.TA,"[0.9864, 0.9865, 0.9228]","[0.9864, 0.9865, 0.9228]","[0.9616, 0.9616, 0.9477]","[0.85, 0.85, 0.9407]","[0.9594, 0.9595, 0.9498]","[0.9219, 0.922, 0.9873]","[0.9027, 0.9027, 0.812]","[None, None, None]"
IDNT.TA,"[0.9343, 0.1622, 0.9463]","[0.9343, 0.1622, 0.9463]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
IDMO.TA,"[0.9565, 0.9105, 0.7445]","[0.9565, 0.9105, 0.7445]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ILX.TA,"[0.9995, 0.9603, 0.9774]","[0.9995, 0.9603, 0.9774]","[0.9115, 0.8724, 0.9347]","[0.3936, 0.3544, 0.4168]","[0.8912, 0.8521, 0.9144]","[0.5882, 0.549, 0.6114]","[0.9977, 0.9585, 0.9791]","[0.5019, 0.4627, 0.5251]"
INRM.TA,"[0.9939, 0.9403, 0.9674]","[0.9939, 0.9403, 0.9674]","[0.6237, 0.6894, 0.6623]","[0.82, 0.7543, 0.7814]","[0.4546, 0.5203, 0.4932]","[-0.692, -0.6262, -0.6533]","[0.8274, 0.8931, 0.866]","[0.9436, 0.8778, 0.9049]"
INCR.TA,"[0.9943, 0.9667, 0.8604]","[0.9943, 0.9667, 0.8604]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISHI.TA,"[0.996, 0.9814, 0.9449]","[0.996, 0.9814, 0.9449]","[0.8764, 0.8989, 0.8253]","[0.3311, 0.3536, 0.28]","[0.8322, 0.8548, 0.7811]","[0.0224, 0.045, -0.0287]","[0.999, 0.9784, 0.9479]","[0.9466, 0.924, 0.9977]"
ISRG.TA,"[0.9848, 0.9789, 0.9908]","[0.9848, 0.9789, 0.9908]","[0.6044, 0.5985, 0.6288]","[-1.0, -1.0, -1.0]","[0.1685, 0.1626, 0.1929]","[-1.0, -1.0, -1.0]","[0.8469, 0.841, 0.8713]","[0.9935, 0.9994, 0.9691]"
ISRO.TA,"[0.981, 0.9752, 0.8915]","[0.981, 0.9752, 0.8915]","[0.372, 0.3662, 0.2825]","[-1.0, -1.0, -1.0]","[-0.1408, -0.1466, -0.2304]","[-0.8237, -0.8295, -0.9133]","[0.9482, 0.9424, 0.8587]","[0.9798, 0.9741, 0.8903]"
ISTA.TA,"[0.9818, 0.9503, 0.9165]","[0.9818, 0.9503, 0.9165]","[0.3105, 0.279, 0.2452]","[-0.1935, -0.225, -0.2588]","[0.6067, 0.5751, 0.5413]","[-1.0, -1.0, -1.0]","[0.9585, 0.9269, 0.8932]","[0.9827, 0.9512, 0.9174]"
JNGO.TA,"[None, None, None]","[0.91, 0.9391, 0.878]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KAFR.TA,"[0.9972, 0.9103, 0.8531]","[0.9972, 0.9103, 0.8531]","[0.9347, 0.9728, 0.9155]","[0.7828, 0.8753, 0.9326]","[0.9336, 0.9739, 0.9166]","[0.8402, 0.9327, 0.99]","[0.9947, 0.9128, 0.8555]","[0.9272, 0.8347, 0.7774]"
KMDA.TA,"[0.9974, 0.944, 0.9858]","[0.9974, 0.944, 0.9858]","[0.8718, 0.9305, 0.8603]","[0.1259, 0.1846, 0.1144]","[0.866, 0.9247, 0.8545]","[0.601, 0.6597, 0.5894]","[0.9744, 0.9669, 0.9629]","[None, None, None]"
KEN.TA,"[0.9892, 0.9084, 0.9815]","[0.9892, 0.9084, 0.9815]","[0.949, 0.8682, 0.9782]","[-1.0, -1.0, -1.0]","[0.8216, 0.9024, 0.7923]","[0.4892, 0.4084, 0.5185]","[0.9962, 0.923, 0.967]","[0.9941, 0.9251, 0.9649]"
KSTN.TA,"[0.994, 0.9952, 0.9815]","[0.994, 0.9952, 0.9815]","[-0.006, -0.0048, 0.0185]","[-0.7588, -0.7575, -0.7342]","[0.8849, 0.8862, 0.9095]","[0.7821, 0.7808, 0.7576]","[0.9207, 0.922, 0.9452]","[0.7769, 0.7782, 0.8015]"
KLIL.TA,"[0.9898, 0.981, 0.9738]","[0.9898, 0.981, 0.9738]","[0.914, 0.8847, 0.8775]","[0.4829, 0.4537, 0.4464]","[0.8095, 0.7803, 0.773]","[-0.6757, -0.7049, -0.7121]","[0.9887, 0.9821, 0.9748]","[None, None, None]"
LAHAV.TA,"[0.9969, 0.9693, 0.9618]","[0.9969, 0.9693, 0.9618]","[0.909, 0.9428, 0.9502]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9302, 0.8964, 0.8889]","[0.9436, 0.9774, 0.9849]","[0.9008, 0.9346, 0.9421]"
LSCO.TA,"[0.9874, 0.916, 0.9907]","[0.9874, 0.916, 0.9907]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LBRA.TA,"[0.9783, 0.9876, 0.7942]","[0.9783, 0.9876, 0.7942]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LCTX.TA,"[0.9899, 0.9319, 0.7788]","[0.9899, 0.9319, 0.7788]","[0.9649, 0.9568, 0.8037]","[0.8906, 0.8123, 0.6593]","[0.9968, 0.9185, 0.7654]","[0.8909, 0.8127, 0.6596]","[0.9375, 0.9843, 0.8312]","[None, None, None]"
LPSN.TA,"[0.9729, 0.5627, 0.781]","[0.9729, 0.5627, 0.781]","[0.9651, 0.5008, 0.7191]","[-1.0, -0.7357, -0.954]","[0.9195, 0.6162, 0.8345]","[0.6262, 0.9094, 0.8723]","[0.9982, 0.5338, 0.7522]","[0.9423, 0.4779, 0.6963]"
MGIC.TA,"[0.9855, 0.9354, 0.99]","[0.9855, 0.9354, 0.99]","[0.9722, 0.9777, 0.9677]","[0.978, 0.9718, 0.9735]","[0.9561, 0.9938, 0.9516]","[0.9854, 0.9645, 0.9809]","[0.9677, 0.9175, 0.9722]","[0.9216, 0.8715, 0.9261]"
MTLF.TA,"[None, None, None]","[0.9883, 0.883, 0.824]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRX.TA,"[0.9879, 0.9932, 0.936]","[0.9879, 0.9932, 0.936]","[0.9289, 0.9236, 0.9808]","[0.9755, 0.9808, 0.9236]","[0.9863, 0.981, 0.9618]","[0.9827, 0.9879, 0.9308]","[0.973, 0.9677, 0.9751]","[0.9392, 0.9339, 0.9911]"
MAXO.TA,"[0.9913, 0.9988, 0.9072]","[0.9913, 0.9988, 0.9072]","[0.9797, 0.9896, 0.9188]","[0.9968, 0.9933, 0.9017]","[0.995, 0.9951, 0.9035]","[0.962, 0.972, 0.9364]","[0.959, 0.969, 0.9394]","[0.6452, 0.6352, 0.5436]"
MTRN.TA,"[0.9821, 0.9908, 0.5062]","[0.9821, 0.9908, 0.5062]","[0.6863, 0.6591, 0.1746]","[0.9264, 0.8993, 0.4148]","[0.6219, 0.5948, 0.1102]","[0.8016, 0.7745, 0.2899]","[0.9102, 0.9373, 0.5781]","[0.7006, 0.6735, 0.1889]"
MEDN.TA,"[0.9936, 0.9848, 0.9818]","[0.9936, 0.9848, 0.9818]","[0.592, 0.5832, 0.5802]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.843, 0.8342, 0.8312]","[0.8728, 0.8639, 0.8609]"
MLSR.TA,"[0.9934, 0.9817, 0.9841]","[0.9934, 0.9817, 0.9841]","[0.9197, 0.9446, 0.9421]","[0.5221, 0.547, 0.5446]","[0.9346, 0.9595, 0.9571]","[0.9402, 0.9651, 0.9626]","[0.9801, 0.9552, 0.9576]","[0.9763, 0.9513, 0.9538]"
MNIN.TA,"[0.9893, 0.948, 0.9553]","[0.9893, 0.948, 0.9553]","[0.9338, 0.8925, 0.8998]","[0.7182, 0.6768, 0.6841]","[0.9319, 0.8906, 0.8979]","[0.7937, 0.7524, 0.7596]","[0.9772, 0.9358, 0.9431]","[0.8953, 0.854, 0.8613]"
MCRNT.TA,"[0.997, 0.9626, 0.9589]","[0.997, 0.9626, 0.9589]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[None, None, None]","[0.9333, 0.6444, 0.7833]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MZTF.TA,"[0.9872, 0.9919, 0.9922]","[0.9872, 0.9919, 0.9922]","[0.9213, 0.9422, 0.9263]","[0.8457, 0.8666, 0.8507]","[None, None, None]","[None, None, None]","[0.9628, 0.9837, 0.9678]","[None, None, None]"
MLRN.TA,"[0.991, 0.8907, 0.966]","[0.991, 0.8907, 0.966]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[0.9769, 0.9882, 0.9826]","[0.9769, 0.9882, 0.9826]","[0.9511, 0.9624, 0.9916]","[0.3363, 0.325, 0.2958]","[0.8986, 0.8874, 0.8582]","[0.805, 0.7937, 0.7645]","[0.9969, 0.9918, 0.9626]","[0.8366, 0.8253, 0.7961]"
NYAX.TA,"[0.9771, 0.9801, 0.9905]","[0.9771, 0.9801, 0.9905]","[0.7563, 0.7991, 0.7887]","[0.5851, 0.6279, 0.6175]","[0.7413, 0.7841, 0.7737]","[-0.4825, -0.4397, -0.4502]","[0.9009, 0.9437, 0.9332]","[0.813, 0.8558, 0.8453]"
NTGR.TA,"[0.9992, 0.9877, 0.9671]","[0.9992, 0.9877, 0.9671]","[0.8417, 0.8302, 0.8754]","[0.2924, 0.2808, 0.326]","[0.854, 0.8424, 0.8876]","[0.8681, 0.8796, 0.8344]","[0.9052, 0.9167, 0.8715]","[0.6189, 0.6305, 0.5853]"
NTNB.TA,"[None, None, None]","[0.9897, 0.9765, 0.8963]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTG.TA,"[0.9634, 0.4368, 0.6488]","[0.9634, 0.4368, 0.6488]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[0.9778, 0.9806, 0.869]","[0.9778, 0.9806, 0.869]","[0.9515, 0.9543, 0.8428]","[-0.5309, -0.5337, -0.4221]","[0.9401, 0.9429, 0.8314]","[0.9056, 0.9084, 0.7969]","[0.9618, 0.959, 0.9295]","[0.8446, 0.8418, 0.9534]"
NXFR.TA,"[0.9789, 0.9538, 0.7309]","[0.9789, 0.9538, 0.7309]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXGN.TA,"[0.8966, 0.9152, 0.8067]","[0.8966, 0.9152, 0.8067]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[0.9996, 0.9665, 0.8251]","[0.9996, 0.9665, 0.8251]","[0.9918, 0.9588, 0.8174]","[0.9111, 0.878, 0.7367]","[0.9928, 0.9597, 0.8183]","[0.9388, 0.9057, 0.7643]","[0.9985, 0.9655, 0.8241]","[0.9986, 0.9656, 0.8242]"
NISA.TA,"[0.985, 0.9884, 0.9997]","[0.985, 0.9884, 0.9997]","[0.8558, 0.8824, 0.8711]","[0.2759, 0.3026, 0.2913]","[0.6542, 0.6808, 0.6695]","[0.416, 0.4427, 0.4314]","[0.9856, 0.959, 0.9703]","[0.9904, 0.983, 0.9943]"
NVMI.TA,"[0.9966, 0.9276, 0.8804]","[0.9966, 0.9276, 0.8804]","[0.8972, 0.8214, 0.9866]","[0.7787, 0.703, 0.8949]","[0.8917, 0.8159, 0.9921]","[0.7778, 0.702, 0.894]","[0.9552, 0.8794, 0.9287]","[None, None, None]"
NVLG.TA,"[0.9908, 0.9785, 0.9816]","[0.9908, 0.9785, 0.9816]","[0.9677, 0.9985, 0.9953]","[0.905, 0.8743, 0.8774]","[0.8923, 0.923, 0.9199]","[0.8159, 0.8467, 0.8435]","[0.9918, 0.9611, 0.9642]","[None, None, None]"
NURI.TA,"[None, None, None]","[0.9915, 0.8654, 0.7397]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPCE.TA,"[0.9682, 0.9876, 0.9388]","[0.9682, 0.9876, 0.9388]","[0.9134, 0.9575, 0.9937]","[-0.8571, -0.9013, -0.9501]","[0.8601, 0.816, 0.7672]","[-1.0, -1.0, -1.0]","[0.94, 0.9842, 0.967]","[0.9639, 0.9919, 0.9432]"
OPK.TA,"[0.9658, 0.8865, 0.8622]","[0.9658, 0.8865, 0.8622]","[0.9852, 0.9355, 0.9111]","[0.1601, 0.2394, 0.2638]","[0.8063, 0.8857, 0.91]","[0.897, 0.9763, 0.9993]","[0.9688, 0.8895, 0.8651]","[0.5149, 0.4356, 0.4112]"
ORAD.TA,"[0.9908, 0.9906, 0.9912]","[0.9908, 0.9906, 0.9912]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ORMP.TA,"[0.9947, 0.9022, 0.9119]","[0.9947, 0.9022, 0.9119]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9469, 0.9606, 0.9703]","[0.9099, 0.9976, 0.9927]","[None, None, None]"
ORA.TA,"[0.9974, 0.968, 0.8978]","[0.9974, 0.968, 0.8978]","[0.9527, 0.918, 0.8478]","[0.5791, 0.5444, 0.4742]","[0.7815, 0.7469, 0.6767]","[0.7151, 0.6804, 0.6102]","[0.9992, 0.9661, 0.896]","[0.9963, 0.9616, 0.8914]"
OVRS.TA,"[0.9923, 0.9885, 0.9499]","[0.9923, 0.9885, 0.9499]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLRM.TA,"[0.9961, 0.9761, 0.8511]","[0.9961, 0.9761, 0.8511]","[0.8663, 0.8864, 0.9887]","[0.8444, 0.8644, 0.9894]","[0.8531, 0.8732, 0.9981]","[0.796, 0.8161, 0.941]","[0.9886, 0.9914, 0.8664]","[None, None, None]"
PTNR.TA,"[0.9954, 0.9306, 0.9984]","[0.9954, 0.9306, 0.9984]","[0.9786, 0.9046, 0.9756]","[0.959, 0.967, 0.962]","[0.9459, 0.9801, 0.9489]","[0.9827, 0.9432, 0.9857]","[0.959, 0.885, 0.956]","[0.8406, 0.7666, 0.8376]"
PEN.TA,"[0.9847, 0.9908, 0.9913]","[0.9847, 0.9908, 0.9913]","[0.9058, 0.8997, 0.8992]","[0.9155, 0.9094, 0.9089]","[None, None, None]","[None, None, None]","[0.8346, 0.8285, 0.828]","[None, None, None]"
PERI.TA,"[0.9976, 0.7868, 0.6698]","[0.9976, 0.7868, 0.6698]","[0.6863, 0.9019, 0.9811]","[-0.53, -0.3144, -0.1974]","[0.7871, 0.9973, 0.8803]","[-0.5283, -0.3127, -0.1957]","[0.9287, 0.8557, 0.7387]","[None, None, None]"
PTCH.TA,"[None, None, None]","[0.9958, 0.9864, 0.8589]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PHTM.TA,"[0.9894, 0.9421, 0.9971]","[0.9894, 0.9421, 0.9971]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLCR.TA,"[-1.0, -1.0, 0.547]","[-1.0, -1.0, 0.547]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PMVM.TA,"[0.9713, 0.9997, 0.6875]","[0.9713, 0.9997, 0.6875]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PRSK.TA,"[0.978, 0.9839, 0.9982]","[0.978, 0.9839, 0.9982]","[0.764, 0.7582, 0.7438]","[-1.0, -1.0, -1.0]","[0.8729, 0.867, 0.8527]","[0.7676, 0.7617, 0.7474]","[0.9804, 0.9746, 0.9602]","[0.8774, 0.8833, 0.8976]"
PRTC.TA,"[0.987, 0.9378, 0.967]","[0.987, 0.9378, 0.967]","[0.9972, 0.948, 0.9568]","[0.8107, 0.7615, 0.8567]","[None, None, None]","[0.3971, 0.3479, 0.443]","[0.9948, 0.956, 0.9489]","[0.9975, 0.9533, 0.9516]"
PRPD.TA,"[None, None, None]","[0.9834, 0.9445, 0.9253]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PULS.TA,"[0.991, 0.9634, 0.971]","[0.991, 0.9634, 0.971]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PPBT.TA,"[0.9498, 0.8695, 0.7137]","[0.9498, 0.8695, 0.7137]","[None, None, None]","[0.5891, 0.5088, 0.353]","[None, None, None]","[0.6789, 0.5986, 0.4427]","[0.9549, 0.9648, 0.809]","[None, None, None]"
QLTU.TA,"[0.9988, 0.8252, 0.6715]","[0.9988, 0.8252, 0.6715]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
QLRD.TA,"[0.9992, 0.9271, 0.9935]","[0.9992, 0.9271, 0.9935]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RANI.TA,"[0.9921, 0.8874, 0.9775]","[0.9921, 0.8874, 0.9775]","[0.5622, 0.6669, 0.5769]","[0.0103, 0.115, 0.0249]","[0.8689, 0.9735, 0.8835]","[0.9169, 0.8122, 0.9023]","[0.9795, 0.9158, 0.9941]","[0.9633, 0.8586, 0.9487]"
RAVD.TA,"[0.8874, 0.9262, 0.9822]","[0.8874, 0.9262, 0.9822]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RVL.TA,"[0.9776, 0.8417, 0.8198]","[0.9776, 0.8417, 0.8198]","[0.9855, 0.8495, 0.8276]","[-1.0, -1.0, -1.0]","[0.9752, 0.8393, 0.8174]","[0.4175, 0.2816, 0.2597]","[0.9947, 0.8587, 0.8368]","[0.8791, 0.985, 0.9631]"
RAYG-M.TA,"[None, None, None]","[0.9848, 0.8943, 0.8205]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RZR.TA,"[0.9673, 0.8316, 0.8486]","[0.9673, 0.8316, 0.8486]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
RIT1.TA,"[0.9997, 0.9949, 0.9684]","[0.9997, 0.9949, 0.9684]","[0.9282, 0.9227, 0.8962]","[0.7288, 0.7343, 0.7608]","[0.9111, 0.9056, 0.8791]","[0.8963, 0.8908, 0.8643]","[0.9917, 0.9862, 0.9597]","[0.9225, 0.917, 0.8905]"
REKA.TA,"[1.0, 0.9299, 0.9694]","[1.0, 0.9299, 0.9694]","[0.766, 0.6959, 0.7966]","[-1.0, -1.0, -1.0]","[0.5937, 0.5235, 0.6243]","[-1.0, -1.0, -1.0]","[0.9356, 0.8655, 0.9662]","[0.6378, 0.5677, 0.6684]"
RTLS.TA,"[0.9801, 0.9267, 0.9034]","[0.9801, 0.9267, 0.9034]","[0.6084, 0.555, 0.5317]","[0.4864, 0.433, 0.4097]","[0.6262, 0.5728, 0.5495]","[0.5815, 0.5281, 0.5048]","[0.9033, 0.8499, 0.8266]","[0.9532, 0.9934, 0.9701]"
RIMO.TA,"[0.9946, 0.992, 0.944]","[0.9946, 0.992, 0.944]","[0.9856, 0.9831, 0.9529]","[0.7793, 0.7819, 0.7179]","[0.9056, 0.9081, 0.8441]","[0.8607, 0.8633, 0.7993]","[0.9581, 0.9607, 0.8967]","[None, None, None]"
RSEL.TA,"[0.9842, 0.9358, 0.9863]","[0.9842, 0.9358, 0.9863]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNS.TA,"[0.9997, 0.9337, 0.9388]","[0.9997, 0.9337, 0.9388]","[0.9813, 0.9527, 0.9578]","[0.9279, 0.9939, 0.9888]","[0.9561, 0.9779, 0.983]","[0.934, 1.0, 0.9948]","[0.9759, 0.9099, 0.9151]","[0.9997, 0.9343, 0.9394]"
SARN.TA,"[0.9841, 0.9421, 0.9274]","[0.9841, 0.9421, 0.9274]","[0.8964, 0.8543, 0.8396]","[0.5939, 0.5519, 0.5372]","[0.832, 0.79, 0.7753]","[0.5232, 0.4812, 0.4665]","[0.0831, 0.1252, 0.1399]","[0.9699, 0.988, 0.9733]"
SVRE.TA,"[0.9916, 0.6797, 0.4072]","[0.9916, 0.6797, 0.4072]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SVRT.TA,"[0.9646, 0.8447, 0.7739]","[0.9646, 0.8447, 0.7739]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SCDX.TA,"[0.9848, 0.8847, 0.9704]","[0.9848, 0.8847, 0.9704]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SLARL.TA,"[0.9811, 0.983, 0.9578]","[0.9811, 0.983, 0.9578]","[0.9488, 0.9846, 0.9254]","[0.3629, 0.327, 0.3862]","[0.9639, 0.9998, 0.9406]","[0.9644, 0.9998, 0.941]","[0.9784, 0.9858, 0.955]","[0.9672, 0.997, 0.9438]"
SHGR.TA,"[0.9976, 0.9901, 0.977]","[0.9976, 0.9901, 0.977]","[0.9602, 0.9479, 0.9808]","[0.2318, 0.2196, 0.2524]","[0.8495, 0.8373, 0.8701]","[0.6923, 0.68, 0.7129]","[0.9776, 0.9899, 0.957]","[0.9116, 0.8994, 0.9322]"
SPEN.TA,"[0.9907, 0.9572, 0.981]","[0.9907, 0.9572, 0.981]","[0.9318, 0.984, 0.9222]","[0.3964, 0.3443, 0.4061]","[0.8068, 0.859, 0.7972]","[0.674, 0.7262, 0.6644]","[0.9803, 0.9675, 0.9707]","[0.9666, 0.9144, 0.9762]"
SHOM.TA,"[0.9472, 0.9279, 0.9774]","[0.9472, 0.9279, 0.9774]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[0.9946, 0.9991, 0.8601]","[0.9946, 0.9991, 0.8601]","[0.9391, 0.9436, 0.9156]","[0.1196, 0.1241, 0.2649]","[0.8865, 0.891, 0.9682]","[0.4067, 0.4112, 0.552]","[0.9972, 0.9983, 0.8575]","[0.9906, 0.9951, 0.8641]"
SKLN.TA,"[0.9938, 0.9263, 0.8588]","[0.9938, 0.9263, 0.8588]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SONO.TA,"[0.9807, 0.9859, 0.911]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPDV.TA,"[0.9849, 0.9778, 0.9699]","[0.9849, 0.9778, 0.9699]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPRG.TA,"[0.8646, 0.945, 0.502]","[0.8646, 0.945, 0.502]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SPNTC.TA,"[0.9919, 0.977, 0.8936]","[0.9919, 0.977, 0.8936]","[0.8789, 0.8938, 0.9772]","[0.3177, 0.3326, 0.416]","[0.6773, 0.6922, 0.7756]","[0.4622, 0.4771, 0.5605]","[0.9606, 0.9457, 0.8623]","[0.9865, 0.9716, 0.8882]"
STG.TA,"[0.9852, 0.9961, 0.9413]","[0.9852, 0.9961, 0.9413]","[0.9639, 0.9747, 0.9199]","[0.9392, 0.9284, 0.9832]","[0.942, 0.9528, 0.898]","[0.9377, 0.9486, 0.8938]","[0.958, 0.9688, 0.9141]","[0.8619, 0.8511, 0.9059]"
STRS.TA,"[0.9937, 0.995, 0.9178]","[0.9937, 0.995, 0.9178]","[0.9792, 0.9906, 0.9323]","[0.3985, 0.3871, 0.31]","[0.9745, 0.9631, 0.886]","[0.681, 0.6697, 0.5925]","[0.995, 0.9936, 0.9164]","[0.8733, 0.8847, 0.9618]"
TDRN.TA,"[0.9912, 0.9186, 0.8282]","[0.9912, 0.9186, 0.8282]","[0.795, 0.7224, 0.632]","[0.0639, 0.1364, 0.2268]","[0.7166, 0.6441, 0.5537]","[0.6146, 0.5421, 0.4517]","[0.9274, 0.8549, 0.7645]","[0.8604, 0.9329, 0.9767]"
TMRP.TA,"[0.938, 0.931, 0.8938]","[0.938, 0.931, 0.8938]","[0.9413, 0.9482, 0.9854]","[0.7309, 0.7378, 0.775]","[0.7873, 0.7942, 0.8314]","[0.7911, 0.7981, 0.8353]","[0.9219, 0.915, 0.8777]","[0.9362, 0.9292, 0.892]"
TECT.TA,"[0.9796, 0.7811, 0.6951]","[0.9796, 0.7811, 0.6951]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TFRLF.TA,"[0.9806, 0.9775, 0.9191]","[0.9806, 0.9775, 0.9191]","[0.9812, 0.9843, 0.9573]","[0.9707, 0.9737, 0.9678]","[0.9352, 0.9321, 0.8737]","[0.9023, 0.8993, 0.8408]","[0.96, 0.9631, 0.9785]","[-0.0194, -0.0225, -0.0809]"
TRX.TA,"[0.9975, 0.9834, 0.9367]","[0.9975, 0.9834, 0.9367]","[0.9291, 0.9482, 0.995]","[0.3722, 0.3912, 0.438]","[0.8711, 0.8901, 0.9369]","[-0.1135, -0.0944, -0.0476]","[0.9863, 0.9672, 0.9204]","[0.8775, 0.8584, 0.8117]"
TUZA.TA,"[0.9901, 0.97, 0.9682]","[0.9901, 0.97, 0.9682]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TIGI.TA,"[None, None, None]","[0.7366, 0.928, 0.6009]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TGTR.TA,"[0.9146, 0.7369, 0.6503]","[0.9146, 0.7369, 0.6503]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TNDO.TA,"[None, None, None]","[0.9999, 0.906, 0.8453]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TSEM.TA,"[0.9934, 0.9763, 0.8671]","[0.9934, 0.9763, 0.8671]","[0.9335, 0.9505, 0.9402]","[0.8092, 0.8263, 0.9355]","[0.8094, 0.8265, 0.9358]","[0.5684, 0.5854, 0.6947]","[0.9884, 0.9714, 0.8621]","[0.8287, 0.8116, 0.7024]"
TRAN.TA,"[None, None, None]","[0.9454, 0.7309, 0.7563]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
TURB.TA,"[None, None, None]","[0.9605, 0.9587, 0.9537]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
UMH.TA,"[0.953, 0.9015, 0.7617]","[0.953, 0.9015, 0.7617]","[0.9989, 0.9474, 0.8076]","[-1.0, -1.0, -1.0]","[0.9747, 0.9739, 0.834]","[0.8584, 0.9099, 0.9503]","[0.9705, 0.919, 0.7792]","[0.9489, 0.8975, 0.7577]"
