,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
BRIL.TA,"[0.002, -0.0889, -0.1921]","[0.0007, 0.0916, 0.1949]","[None, None, None]","[0.002, -0.0889, -0.1922]","[-0.0, 0.0909, 0.1942]","[0.0011, 0.0921, 0.1953]","[-0.0032, -0.0941, -0.1974]","[0.0009, -0.09, -0.1932]","[0.0009, -0.09, -0.1932]","[0.001, -0.0899, -0.1931]","[0.0086, -0.0823, -0.1856]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CANF.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[-0.0165, -0.0797, -0.0057]","[-0.0176, -0.0807, -0.0067]","[0.7856, 0.8487, 0.7747]","[-0.0172, -0.0803, -0.0063]","[-0.0173, -0.0804, -0.0064]","[0.0191, 0.0822, 0.0083]","[-0.017, -0.0801, -0.0061]","[-0.0176, -0.0807, -0.0067]","[-0.0175, -0.0806, -0.0066]","[-0.0178, -0.0809, -0.0069]","[-0.0175, -0.0806, -0.0066]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0026, 0.0515, 0.1633]","[0.0029, 0.0518, 0.1637]","[0.0024, 0.0513, 0.1631]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.431, 0.2471, 0.0324]","[None, None, None]","[0.8036, 0.9875, 0.7978]","[0.8815, 0.9345, 0.7198]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[None, None, None]","[-0.3595, -0.2535, -0.3333]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.3155, -0.4216, -0.3418]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CDEV.TA,"[0.332, 0.5558, 0.3947]","[0.7948, 0.9814, 0.8575]","[0.7968, 0.9794, 0.8594]","[None, None, None]","[0.3428, 0.5666, 0.4055]","[0.9565, 0.7327, 0.8938]","[0.6947, 0.9185, 0.7574]","[0.7607, 0.537, 0.6981]","[0.311, 0.0872, 0.2483]","[0.9324, 0.8438, 0.9951]","[0.4069, 0.6307, 0.4695]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.4128, 0.5666, 0.4345]","[-0.3982, -0.2444, -0.3765]","[-0.4964, -0.3426, -0.4747]","[0.5174, 0.6712, 0.5391]","[0.5924, 0.7462, 0.6141]","[None, None, None]","[None, None, None]","[0.9694, 0.8156, 0.9477]","[0.5539, 0.4001, 0.5322]","[0.5809, 0.7347, 0.6026]","[None, None, None]","[None, None, None]","[0.8939, 0.7401, 0.8722]","[0.9439, 0.9022, 0.9656]","[None, None, None]"
DIMRI.TA,"[-0.1527, -0.0895, -0.1604]","[0.5055, 0.5686, 0.4977]","[None, None, None]","[0.0759, 0.139, 0.0682]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9031, 0.84, 0.9108]","[0.8249, 0.888, 0.8171]","[0.8687, 0.8055, 0.8764]","[0.989, 0.9478, 0.9813]","[None, None, None]","[0.6781, 0.7412, 0.6704]","[0.8749, 0.8117, 0.8826]","[None, None, None]","[None, None, None]"
DISI.TA,"[-0.0316, 0.2176, 0.0721]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1933, -0.0559, 0.0895]","[0.581, 0.8302, 0.6847]","[0.9852, 0.736, 0.8814]","[0.785, 0.5358, 0.6813]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9746, 0.7761, 0.9216]","[0.7589, 0.5097, 0.6551]","[None, None, None]"
DRAL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8469, 0.8857, 0.9553]","[0.8116, 0.8504, 0.92]","[0.9861, 0.9751, 0.9055]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.0284, -0.1068, 0.0423]","[-0.0252, 0.11, -0.0391]","[None, None, None]","[-0.0257, 0.1095, -0.0396]","[-0.0266, 0.1086, -0.0406]","[-0.0272, 0.108, -0.0411]","[0.0258, -0.1094, 0.0397]","[0.0279, -0.1073, 0.0418]","[None, None, None]","[-0.0252, 0.1099, -0.0392]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCO.TA,"[0.0038, -0.0453, -0.0307]","[0.0039, -0.0452, -0.0306]","[0.0278, 0.0768, 0.0623]","[0.0038, -0.0452, -0.0307]","[0.0039, -0.0451, -0.0306]","[None, None, None]","[None, None, None]","[0.0028, -0.0462, -0.0317]","[0.0027, -0.0464, -0.0318]","[0.0029, -0.0461, -0.0316]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELTR.TA,"[0.7528, 0.6794, 0.7517]","[0.4611, 0.5346, 0.4623]","[None, None, None]","[-0.3794, -0.306, -0.3783]","[0.6759, 0.7493, 0.6771]","[0.5463, 0.6197, 0.5474]","[-0.4818, -0.5552, -0.483]","[0.4695, 0.396, 0.4683]","[0.4235, 0.35, 0.4223]","[0.5918, 0.5183, 0.5906]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
