,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
KNFM.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-0.2683, -0.3519, -0.3196]","[0.8749, 0.9585, 0.9262]","[0.9139, 0.8303, 0.8626]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9921, 0.9243, 0.9565]","[0.8631, 0.7795, 0.8117]","[0.7788, 0.6952, 0.7275]","[None, None, None]","[0.2633, 0.3469, 0.3146]","[None, None, None]","[1.0, 0.9164, 0.9487]"
LAHAV.TA,"[None, None, None]","[0.6748, 0.5872, 0.718]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9747, 0.8871, 0.9821]","[0.9998, 0.9123, 0.957]","[0.9808, 0.8932, 0.976]","[None, None, None]","[1.0, 0.9124, 0.9568]","[None, None, None]","[None, None, None]"
LPHL.TA,"[0.0019, 0.1297, -0.0012]","[0.002, 0.1299, -0.0011]","[-0.4859, -0.6138, -0.4828]","[0.0025, 0.1304, -0.0006]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.001, 0.1288, -0.0021]","[0.001, 0.1288, -0.0021]","[0.001, 0.1289, -0.0021]","[None, None, None]","[0.002, 0.1299, -0.0011]","[None, None, None]","[None, None, None]"
LUMI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LEVI.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9055, 0.9969]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
LBRA.TA,"[0.0016, 0.0295, -0.0687]","[-0.0006, -0.0285, 0.0697]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 0.028, -0.0703]","[0.0012, -0.0268, 0.0715]","[0.001, 0.0289, -0.0693]","[0.001, 0.029, -0.0693]","[0.001, 0.029, -0.0693]","[0.0011, 0.029, -0.0692]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLTM.TA,"[0.503, 0.5749, 0.6354]","[-1.0, -1.0, -1.0]","[0.8846, 0.9565, 0.983]","[0.9113, 0.8395, 0.779]","[-0.2345, -0.3063, -0.3668]","[None, None, None]","[0.6806, 0.7524, 0.8129]","[-1.0, -1.0, -1.0]","[0.9823, 0.9458, 0.8853]","[None, None, None]","[0.9953, 0.9234, 0.8629]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9281, 0.8676]"
MTRX.TA,"[0.4827, 0.3726, 0.4369]","[0.5571, 0.447, 0.5113]","[None, None, None]","[0.4993, 0.3891, 0.4535]","[0.5316, 0.4214, 0.4858]","[None, None, None]","[0.8868, 0.9969, 0.9325]","[0.5274, 0.6375, 0.5732]","[0.9995, 0.8904, 0.9547]","[0.4375, 0.5476, 0.4832]","[0.9716, 0.8614, 0.9258]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
MDTR.TA,"[0.5838, 0.509, 0.6428]","[0.8886, 0.9633, 0.8296]","[0.925, 0.9998, 0.866]","[0.6603, 0.5856, 0.7193]","[0.5684, 0.6432, 0.5094]","[None, None, None]","[-0.6154, -0.5406, -0.6743]","[-1.0, -1.0, -1.0]","[0.9469, 0.8721, 0.9941]","[0.9297, 0.8549, 0.9887]","[0.9934, 0.9186, 0.9477]","[None, None, None]","[1.0, 0.9252, 0.941]","[None, None, None]","[None, None, None]"
MLSR.TA,"[None, None, None]","[-0.065, -0.1287, 0.0182]","[-0.0667, -0.1304, 0.0166]","[None, None, None]","[-0.2964, -0.3601, -0.2132]","[None, None, None]","[0.7428, 0.8065, 0.6595]","[-1.0, -1.0, -1.0]","[0.8802, 0.9439, 0.7969]","[0.5567, 0.6204, 0.4734]","[0.9441, 0.8804, 0.9726]","[0.8551, 0.9188, 0.7718]","[None, None, None]","[None, None, None]","[0.9996, 0.9367, 0.9163]"
MNIN.TA,"[0.5038, 0.4008, 0.4526]","[0.4738, 0.3707, 0.4226]","[0.4902, 0.3871, 0.439]","[0.4838, 0.3807, 0.4326]","[0.4823, 0.3792, 0.4311]","[0.9409, 0.956, 0.9921]","[0.8061, 0.9092, 0.8573]","[0.9806, 0.9163, 0.9682]","[0.9895, 0.8864, 0.9383]","[0.9968, 0.9002, 0.952]","[0.9708, 0.8677, 0.9196]","[0.9177, 0.9792, 0.9689]","[1.0, 0.8969, 0.9488]","[0.8676, 0.9707, 0.9188]","[None, None, None]"
MNIF.TA,"[None, None, None]","[0.003, 0.1214, 0.0148]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0012, -0.1171, -0.0105]","[0.0025, 0.1209, 0.0143]","[0.0012, 0.1195, 0.0129]","[0.0012, 0.1195, 0.0129]","[0.0013, 0.1196, 0.013]","[0.0017, 0.12, 0.0134]","[0.0016, -0.1168, -0.0102]","[0.0028, 0.1212, 0.0146]","[0.001, 0.1193, 0.0127]"
MNRT.TA,"[0.9998, 0.9443, 0.9668]","[None, None, None]","[1.0, 0.9445, 0.9666]","[None, None, None]","[None, None, None]","[None, None, None]","[0.393, 0.4486, 0.3596]","[-1.0, -1.0, -1.0]","[0.8351, 0.7795, 0.8685]","[0.7745, 0.719, 0.8079]","[0.9968, 0.9413, 0.9698]","[0.7939, 0.7384, 0.8273]","[None, None, None]","[None, None, None]","[None, None, None]"
MMHD.TA,"[None, None, None]","[-0.0005, 0.0634, -0.0806]","[1.0, 0.9361, 0.9199]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.4842, -0.548, -0.404]","[0.0012, 0.0651, -0.0789]","[0.0012, 0.0651, -0.0789]","[0.001, -0.0629, 0.0811]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
MCLL.TA,"[0.4222, 0.3866, 0.3889]","[0.5822, 0.5466, 0.5488]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7783, 0.8139, 0.8117]","[0.783, 0.8186, 0.8164]","[0.7931, 0.8287, 0.8264]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MGDL.TA,"[0.0509, 0.1671, 0.0727]","[0.0594, 0.1756, 0.0813]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0004, -0.1159, -0.0215]","[0.0, -0.1162, -0.0218]","[0.0391, 0.1553, 0.0609]","[0.0273, 0.1435, 0.0491]","[-0.5817, -0.6979, -0.6036]","[0.002, 0.1182, 0.0238]","[None, None, None]","[None, None, None]","[None, None, None]"
MLD.TA,"[0.5093, 0.4074, 0.5443]","[-0.0464, 0.0555, -0.0814]","[None, None, None]","[-0.4916, -0.3897, -0.5267]","[None, None, None]","[0.7103, 0.8122, 0.6753]","[0.3734, 0.4753, 0.3384]","[-1.0, -1.0, -1.0]","[0.2531, 0.355, 0.2181]","[0.7425, 0.8444, 0.7074]","[0.608, 0.7099, 0.573]","[None, None, None]","[None, None, None]","[0.6213, 0.5194, 0.6563]","[None, None, None]"
