,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
NFTA.TA,"[0.4729, 0.5212, 0.6014]","[-1.0, -1.0, -1.0]","[0.0734, 0.1216, 0.2019]","[0.4847, 0.533, 0.6132]","[-0.4931, -0.4448, -0.3646]","[None, None, None]","[None, None, None]","[0.98, 0.9318, 0.8516]","[0.8974, 0.8492, 0.769]","[0.928, 0.9763, 0.9435]","[None, None, None]","[None, None, None]","[0.1106, 0.0624, -0.0179]","[None, None, None]","[None, None, None]"
NVPT.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-0.0173, 0.0203, 0.1288]","[0.4972, 0.5348, 0.6433]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
NTO.TA,"[-0.0307, -0.094, -0.127]","[-0.0308, -0.0941, -0.1271]","[0.7241, 0.7873, 0.8203]","[-0.0306, -0.0939, -0.1269]","[-0.0305, -0.0938, -0.1268]","[0.8478, 0.7845, 0.7515]","[0.037, 0.1003, 0.1333]","[-0.0312, -0.0945, -0.1275]","[-0.0312, -0.0945, -0.1275]","[-0.0312, -0.0945, -0.1275]","[0.2091, 0.1458, 0.1128]","[None, None, None]","[None, None, None]","[-0.0312, -0.0945, -0.1275]","[None, None, None]"
NTML.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9482, 0.9735, 0.9773]","[-0.4173, -0.339, -0.3429]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[0.4323, 0.5407, 0.9912]","[-0.1551, -0.0468, 0.4038]","[-0.8755, -0.7672, -0.3166]","[0.3859, 0.4942, 0.9448]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8577, 0.9661, 0.5834]","[-0.0609, 0.0475, 0.498]","[0.972, 0.9196, 0.4691]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9597, 0.8513, 0.4008]"
NISA.TA,"[0.9491, 0.9622, 0.8049]","[0.677, 0.6902, 0.5328]","[None, None, None]","[0.8412, 0.828, 0.9854]","[0.6664, 0.6532, 0.8106]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9258, 0.939, 0.7816]","[0.1755, 0.1623, 0.3197]","[0.8789, 0.892, 0.7347]","[0.4837, 0.4705, 0.6279]","[0.5131, 0.4999, 0.6573]","[0.4322, 0.4191, 0.5764]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[0.0923, 0.2744, -0.1135]","[0.0695, 0.2517, -0.1363]","[None, None, None]","[None, None, None]","[-0.0062, 0.1759, -0.212]","[0.0077, -0.1745, 0.2135]","[-0.0068, 0.1754, -0.2126]","[-0.0067, 0.1754, -0.2125]","[-0.0024, 0.1797, -0.2082]","[-0.7423, -0.9244, -0.5365]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPCE.TA,"[0.3674, 0.3395, 0.289]","[0.2171, 0.1893, 0.1388]","[-1.0, -1.0, -1.0]","[0.3826, 0.3548, 0.3042]","[None, None, None]","[0.6731, 0.701, 0.7515]","[0.9026, 0.8747, 0.8242]","[0.9773, 0.9948, 0.9443]","[0.981, 0.9912, 0.9406]","[0.9044, 0.9323, 0.9828]","[None, None, None]","[None, None, None]","[0.6143, 0.6422, 0.6927]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.7046, 0.9823, 0.5863]","[0.578, 0.2649, 0.6962]","[0.6742, 0.3611, 0.7925]","[0.2825, 0.5956, 0.1643]","[0.4106, 0.0975, 0.5289]","[None, None, None]","[None, None, None]","[0.8947, 0.5816, 0.9871]","[0.8907, 0.5776, 0.9911]","[0.8965, 0.5834, 0.9852]","[None, None, None]","[-0.0671, -0.3802, 0.0511]","[None, None, None]","[None, None, None]","[0.8744, 0.5613, 0.9926]"
ORMP.TA,"[0.4869, 0.489, 0.6822]","[0.6413, 0.6392, 0.4461]","[0.7508, 0.7486, 0.5555]","[None, None, None]","[0.6562, 0.6541, 0.4609]","[-0.9105, -0.9126, -1.0]","[-1.0, -1.0, -1.0]","[0.4475, 0.4496, 0.6428]","[0.81, 0.8079, 0.6147]","[-0.128, -0.1259, 0.0673]","[0.5012, 0.4991, 0.3059]","[None, None, None]","[0.9236, 0.9215, 0.7283]","[None, None, None]","[0.8872, 0.8893, 0.9175]"
ORBI.TA,"[0.4689, 0.4653, 0.9141]","[0.045, 0.0414, 0.4902]","[0.2633, 0.2597, 0.7085]","[0.2991, 0.2955, 0.7443]","[-0.1825, -0.1861, 0.2627]","[0.2823, 0.2787, 0.7275]","[0.8854, 0.889, 0.4402]","[0.9697, 0.9661, 0.5851]","[0.6873, 0.6909, 0.2421]","[0.9607, 0.9571, 0.5941]","[-0.1568, -0.1532, -0.602]","[-0.0023, 0.0013, -0.4475]","[-0.0004, 0.0031, -0.4456]","[None, None, None]","[None, None, None]"
ORIN.TA,"[0.4589, 0.4148, 0.7946]","[0.118, 0.0739, 0.4537]","[0.1104, 0.0663, 0.4461]","[0.4604, 0.4162, 0.796]","[0.8296, 0.7855, 0.8347]","[0.7761, 0.8202, 0.4404]","[0.3735, 0.3294, 0.7092]","[0.9875, 0.9684, 0.6518]","[0.9564, 0.9995, 0.6207]","[0.9925, 0.9484, 0.6718]","[0.384, 0.4281, 0.0483]","[0.8794, 0.8353, 0.7849]","[0.5821, 0.6262, 0.2464]","[None, None, None]","[0.9665, 0.9894, 0.6308]"
ORA.TA,"[0.9158, 0.8432, 0.7355]","[0.6874, 0.6148, 0.5071]","[0.696, 0.6233, 0.5156]","[0.8334, 0.7608, 0.6531]","[0.9178, 0.9904, 0.9019]","[None, None, None]","[None, None, None]","[0.9629, 0.9645, 0.8568]","[0.9451, 0.9823, 0.8746]","[0.985, 0.9424, 0.8347]","[None, None, None]","[0.591, 0.5184, 0.4107]","[0.4366, 0.364, 0.2562]","[None, None, None]","[-1.0, -1.0, -1.0]"
PLRM.TA,"[-0.0239, -0.016, -0.1582]","[-0.0238, -0.0158, -0.158]","[0.3359, 0.328, 0.4702]","[-0.0239, -0.016, -0.1582]","[-0.0238, -0.0159, -0.1581]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0244, -0.0165, -0.1587]","[-0.024, -0.0161, -0.1583]","[-0.0244, -0.0164, -0.1586]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.024, -0.0161, -0.1583]","[None, None, None]"
