,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
GOHO.TA,"[0.0042, 0.0224, -0.1932]","[0.0025, 0.0206, -0.195]","[None, None, None]","[0.0042, 0.0224, -0.1932]","[0.0041, 0.0223, -0.1933]","[None, None, None]","[0.0036, 0.0218, -0.1938]","[0.0147, 0.0329, -0.1828]","[0.004, 0.0221, -0.1935]","[0.0037, 0.0218, -0.1938]","[0.0039, 0.0221, -0.1935]","[0.004, 0.0222, -0.1934]","[None, None, None]","[None, None, None]","[None, None, None]"
GOLF.TA,"[0.6231, 0.6415, 0.7428]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6358, 0.6541, 0.7302]","[-1.0, -1.0, -0.9204]","[None, None, None]","[0.6039, 0.5855, -0.0302]","[0.5945, 0.5761, -0.0396]","[0.9988, 0.9828, 0.3671]","[0.9932, 0.9749, 0.3591]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MSBI.TA,"[0.7819, 0.7411, 0.786]","[0.9509, 0.9917, 0.9468]","[None, None, None]","[0.8211, 0.7803, 0.8252]","[0.9326, 0.9734, 0.9286]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9558, 0.915, 0.9598]","[0.9437, 0.9029, 0.9478]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HAMAT.TA,"[0.62, 0.564, 0.7316]","[-0.3238, -0.3799, -0.2122]","[-0.7857, -0.8417, -0.6741]","[0.822, 0.8781, 0.7104]","[0.5336, 0.4776, 0.6452]","[-1.0, -1.0, -1.0]","[0.8264, 0.8825, 0.7148]","[-1.0, -1.0, -1.0]","[0.7771, 0.8331, 0.6655]","[0.9722, 0.9162, 0.9162]","[0.9541, 0.8981, 0.9343]","[0.3373, 0.3934, 0.2257]","[None, None, None]","[None, None, None]","[None, None, None]"
HARL.TA,"[0.7378, 0.7761, 0.9572]","[0.9498, 0.9115, 0.7304]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9779, 0.9395, 0.7585]","[None, None, None]","[None, None, None]","[0.9791, 0.9408, 0.7597]","[0.4444, 0.4061, 0.225]","[0.9416, 0.9033, 0.7222]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HLAN.TA,"[0.6315, 0.6409, 0.6776]","[0.5049, 0.5143, 0.551]","[None, None, None]","[0.5896, 0.599, 0.6357]","[0.514, 0.5234, 0.5601]","[None, None, None]","[0.9845, 0.9751, 0.9384]","[0.4682, 0.4588, 0.4221]","[0.8707, 0.8801, 0.9168]","[0.8028, 0.8122, 0.8489]","[0.8999, 0.9093, 0.946]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HRON.TA,"[-1.0, -1.0, -1.0]","[-0.6746, -0.7236, -0.6751]","[-0.6746, -0.7236, -0.675]","[None, None, None]","[None, None, None]","[None, None, None]","[0.1132, 0.0642, 0.1127]","[-1.0, -1.0, -1.0]","[0.8924, 0.8435, 0.892]","[0.3294, 0.2805, 0.329]","[0.9304, 0.8814, 0.9299]","[None, None, None]","[0.975, 0.926, 0.9746]","[None, None, None]","[0.9521, 0.9989, 0.9526]"
ICL.TA,"[0.9424, 0.9583, 0.8464]","[0.8326, 0.8484, 0.9562]","[0.7863, 0.8021, 0.9975]","[0.9267, 0.9425, 0.8621]","[0.6463, 0.6621, 0.8575]","[0.7654, 0.7812, 0.9765]","[0.8318, 0.8159, 0.6206]","[0.6221, 0.6379, 0.8333]","[0.9934, 0.9908, 0.7955]","[0.9894, 0.9948, 0.7995]","[0.958, 0.9738, 0.8309]","[0.9486, 0.9328, 0.7375]","[0.8639, 0.8797, 0.9249]","[-0.0353, -0.0511, -0.2465]","[0.9223, 0.9381, 0.8665]"
IDIN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0819, 0.0763, -0.1247]","[0.0914, 0.0857, -0.1153]","[-0.0065, -0.0122, -0.2132]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INRM.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.5864, 0.5592, 0.675]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
INCR.TA,"[-0.894, -0.5864, -0.5373]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.9778, -0.6703, -0.6212]","[0.6969, 0.9955, 0.9464]","[None, None, None]","[0.8809, 0.5734, 0.5243]","[-1.0, -1.0, -1.0]","[0.98, 0.7125, 0.6634]","[-1.0, -1.0, -1.0]","[0.9546, 0.7379, 0.6888]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
