,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
ILX.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2262, 0.2683, 0.3419]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
INCR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISCN.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9444, 0.8384]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ISHI.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]"
ISRA.TA,"[0.2446, 0.2384, 0.1311]","[-0.8521, -0.8458, -0.7385]","[None, None, None]","[0.3167, 0.3105, 0.2032]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9938, 1.0, 0.8927]","[0.9629, 0.9567, 0.8494]","[0.8986, 0.9048, 0.9879]","[-0.8506, -0.8443, -0.737]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ISRO.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.192, 0.1853, 0.1766]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.0305, -0.0238, -0.0151]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
JBNK.TA,"[0.0022, 0.0572, 0.0503]","[0.0123, 0.0673, 0.0604]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.146, 0.201, 0.1941]","[0.1329, 0.188, 0.181]","[0.0202, 0.0753, 0.0683]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8, 0.8551, 0.8481]"
KAFR.TA,"[1.0, 0.9643, 0.9334]","[-0.164, -0.1997, -0.2306]","[1.0, 0.9643, 0.9334]","[1.0, 0.9643, 0.9334]","[None, None, None]","[-0.8651, -0.8294, -0.7985]","[-0.3948, -0.4306, -0.4615]","[0.8277, 0.792, 0.761]","[None, None, None]","[0.903, 0.8673, 0.8364]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
KMDA.TA,"[0.2711, 0.3011, 0.3954]","[0.8309, 0.8009, 0.7065]","[0.3727, 0.4027, 0.497]","[-0.3534, -0.3835, -0.4778]","[-0.6197, -0.6497, -0.7441]","[0.0084, -0.0216, -0.116]","[-0.0972, -0.0672, 0.0271]","[0.9511, 0.9812, 0.9245]","[0.6043, 0.6343, 0.7287]","[0.9905, 0.9794, 0.8851]","[0.8, 0.77, 0.6756]","[None, None, None]","[None, None, None]","[0.5842, 0.5542, 0.4598]","[0.9362, 0.9662, 0.9395]"
KRUR.TA,"[0.166, 0.2239, 0.2494]","[0.0575, 0.1153, 0.1408]","[0.1526, 0.2105, 0.2359]","[0.0485, 0.1063, 0.1318]","[None, None, None]","[1.0, 0.9421, 0.9167]","[1.0, 0.9421, 0.9167]","[1.0, 0.9421, 0.9167]","[0.4267, 0.4845, 0.51]","[0.6067, 0.5489, 0.5234]","[1.0, 0.9421, 0.9167]","[0.25, 0.3079, 0.3333]","[None, None, None]","[None, None, None]","[None, None, None]"
KLIL.TA,"[0.3141, 0.3255, 0.3808]","[0.3061, 0.3175, 0.3727]","[0.3359, 0.3473, 0.4025]","[0.3792, 0.3906, 0.4459]","[None, None, None]","[0.4545, 0.4431, 0.3878]","[0.0185, 0.0071, -0.0482]","[0.9515, 0.9401, 0.8848]","[-1.0, -1.0, -1.0]","[0.9638, 0.9524, 0.8971]","[1.0, 0.9886, 0.9333]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LAHAV.TA,"[None, None, None]","[0.0218, 0.0881, 0.1499]","[0.2715, 0.3378, 0.3996]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9337, 0.8719]","[0.3599, 0.4262, 0.488]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
LUMI.TA,"[0.6414, 0.6671, 0.6266]","[1.0, 0.9743, 0.9852]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9743, 0.9852]","[0.8564, 0.8821, 0.8416]","[1.0, 0.9743, 0.9852]","[1.0, 0.9743, 0.9852]","[0.0, -0.0257, 0.0148]","[None, None, None]","[None, None, None]","[None, None, None]"
