,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
CAMT.TA,"[0.9352, 0.8898, 0.9564]","[0.8043, 0.7589, 0.9126]","[0.8112, 0.7658, 0.9196]","[0.9597, 0.9144, 0.9319]","[0.9202, 0.8748, 0.9714]","[0.9659, 0.9206, 0.9257]","[None, None, None]","[0.9052, 0.8598, 0.9865]","[0.8003, 0.7549, 0.9086]","[0.8465, 0.8919, 0.7382]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9796, 0.9343, 0.912]"
CAST.TA,"[0.3801, 0.3969, 0.6116]","[0.6468, 0.6636, 0.8783]","[-1.0, -1.0, -1.0]","[0.3978, 0.4146, 0.6292]","[0.9647, 0.9815, 0.8038]","[0.9712, 0.988, 0.7973]","[0.4966, 0.4798, 0.2652]","[0.9481, 0.9649, 0.8204]","[0.5839, 0.6007, 0.8154]","[0.7032, 0.72, 0.9347]","[-1.0, -1.0, -1.0]","[0.497, 0.4802, 0.2655]","[0.5521, 0.5689, 0.7836]","[None, None, None]","[None, None, None]"
CEL.TA,"[-1.0, -1.0, -0.8733]","[-0.436, -0.466, -0.281]","[-0.0434, -0.0735, 0.1116]","[-1.0, -1.0, -0.856]","[0.9985, 0.9685, 0.8465]","[0.9903, 0.9797, 0.8353]","[None, None, None]","[0.9691, 0.9391, 0.8759]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8279, 0.8181, 0.9275]","[0.8808, 0.8906, 0.6361]","[None, None, None]","[0.771, 0.7612, 0.9843]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[0.99, 0.9356, 0.8742]","[0.99, 0.9356, 0.8742]","[None, None, None]","[None, None, None]","[0.9335, 0.9878, 0.9507]","[0.9335, 0.9878, 0.9507]","[None, None, None]","[0.9125, 0.8582, 0.7967]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CGEN.TA,"[None, None, None]","[0.3074, 0.2736, 0.0189]","[0.2944, 0.2607, 0.0059]","[None, None, None]","[0.9975, 0.9687, 0.714]","[0.8314, 0.7976, 0.5429]","[None, None, None]","[0.9655, 0.9992, 0.7461]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9894, 0.9556, 0.7009]"
DANH.TA,"[0.1846, 0.1969, 0.1773]","[0.4758, 0.4881, 0.4685]","[-0.66, -0.6723, -0.6527]","[None, None, None]","[0.9823, 0.97, 0.9896]","[0.9702, 0.9579, 0.9775]","[0.9706, 0.9582, 0.9779]","[1.0, 0.9877, 0.9927]","[0.6001, 0.6125, 0.5929]","[0.2156, 0.2033, 0.2229]","[0.7016, 0.7139, 0.6943]","[0.9667, 0.9543, 0.9739]","[1.0, 0.9877, 0.9927]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.5523, 0.541, 0.5675]","[0.7327, 0.7215, 0.7479]","[None, None, None]","[0.4813, 0.4701, 0.4966]","[0.9904, 0.9983, 0.9752]","[0.9913, 0.9974, 0.9761]","[0.851, 0.8623, 0.8358]","[0.6744, 0.6856, 0.6592]","[0.5017, 0.4904, 0.5169]","[0.412, 0.4007, 0.4272]","[-0.371, -0.3598, -0.3862]","[0.4189, 0.4301, 0.4037]","[0.8325, 0.8212, 0.8477]","[0.3067, 0.2954, 0.3219]","[None, None, None]"
DLEKG.TA,"[None, None, None]","[0.4031, 0.4274, 0.4533]","[None, None, None]","[None, None, None]","[0.963, 0.9387, 0.9128]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9824, 0.9933, 0.9674]"
DELG.TA,"[0.4146, 0.4366, 0.677]","[0.2222, 0.2442, 0.4846]","[0.236, 0.2581, 0.4985]","[0.416, 0.4381, 0.6785]","[0.9051, 0.9272, 0.8324]","[0.3536, 0.3757, 0.6161]","[None, None, None]","[0.71, 0.7321, 0.9725]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIPL.TA,"[0.4987, 0.4551, 0.4569]","[0.3834, 0.3398, 0.3416]","[0.5198, 0.4762, 0.478]","[0.489, 0.4454, 0.4472]","[0.9823, 0.9387, 0.9405]","[0.7662, 0.7226, 0.7244]","[None, None, None]","[0.6182, 0.6618, 0.66]","[0.4865, 0.4429, 0.4447]","[-1.0, -1.0, -1.0]","[0.7152, 0.7588, 0.757]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.5324, 0.5726, 0.689]","[0.6345, 0.5943, 0.4778]","[None, None, None]","[0.9393, 0.8991, 0.7826]","[0.9409, 0.9007, 0.7843]","[None, None, None]","[0.9197, 0.8796, 0.7631]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9038, 0.8636, 0.7472]","[None, None, None]","[None, None, None]"
DISI.TA,"[0.3687, 0.3862, 0.4515]","[0.6491, 0.6666, 0.7319]","[None, None, None]","[None, None, None]","[0.9786, 0.9962, 0.9386]","[0.8593, 0.8769, 0.9421]","[0.9637, 0.9813, 0.9535]","[0.9914, 0.991, 0.9258]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.064, -0.0464, 0.0189]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.4029, 0.3905, 0.429]","[0.7712, 0.7588, 0.7973]","[0.7809, 0.7685, 0.807]","[None, None, None]","[0.9928, 0.9948, 0.9667]","[0.9325, 0.9448, 0.9063]","[0.8581, 0.8704, 0.832]","[0.8872, 0.8749, 0.9134]","[None, None, None]","[0.4745, 0.4622, 0.5007]","[0.7807, 0.793, 0.7546]","[0.2316, 0.244, 0.2055]","[0.8418, 0.8541, 0.8156]","[None, None, None]","[0.9983, 0.9859, 0.9756]"
ELAL.TA,"[-0.6714, -0.6984, -0.9242]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9496, 0.9767, 0.7976]","[None, None, None]","[None, None, None]","[0.5778, 0.6049, 0.8306]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
