,Earnings Per Share (EPS),Revenue,Net Income,Operating Income (EBIT),Total Assets,Long-Term Debt,Gross Profit,Number of Outstanding Shares
PRSK.TA,"[0.6418, 0.7789, 0.5875]","[0.4844, 0.6216, 0.4302]","[0.4613, 0.5985, 0.4071]","[0.2659, 0.4031, 0.2117]","[0.9656, 0.8972, 0.9114]","[None, None, None]","[0.5996, 0.7368, 0.5454]","[None, None, None]"
PRTC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
RANI.TA,"[0.7623, 0.5631, 0.6747]","[None, None, None]","[0.4275, 0.2283, 0.3399]","[0.3141, 0.5132, 0.4017]","[0.7444, 0.5453, 0.6568]","[0.22, 0.0209, 0.1324]","[None, None, None]","[None, None, None]"
RIT1.TA,"[0.8725, 0.9592, 0.871]","[None, None, None]","[0.9438, 0.8571, 0.9453]","[None, None, None]","[0.9358, 0.9775, 0.9344]","[0.8593, 0.7726, 0.8608]","[None, None, None]","[0.9944, 0.9189, 0.9929]"
RTLS.TA,"[0.8514, 0.8252, 0.958]","[0.6265, 0.6003, 0.7331]","[0.6639, 0.6377, 0.7705]","[-1.0, -1.0, -0.9335]","[0.9047, 0.8785, 0.9887]","[None, None, None]","[0.6358, 0.6096, 0.7424]","[None, None, None]"
RIMO.TA,"[0.8494, 0.9733, 0.8812]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]"
SPNS.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9966, 0.9569, 0.9667]"
SPEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SHOM.TA,"[0.8137, 0.921, 0.8592]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
SAE.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
SKLN.TA,"[-1.0, -1.0, -1.0]","[0.753, 0.747, 0.8127]","[0.6947, 0.7006, 0.6349]","[-1.0, -1.0, -1.0]","[0.9777, 0.9837, 0.918]","[0.9263, 0.9203, 0.986]","[0.969, 0.9749, 0.9092]","[None, None, None]"
SOLR.TA,"[None, None, None]","[0.7926, 0.6864, 0.7625]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6152, 0.5089, 0.5851]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
TMRP.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.1961, -0.2191, 0.0275]","[0.9885, 0.9654, 0.7879]","[0.9616, 0.9847, 0.738]","[None, None, None]","[0.9928, 0.9842, 0.7692]"
TFRLF.TA,"[-1.0, -1.0, -1.0]","[0.6686, 0.5541, 0.803]","[0.6734, 0.559, 0.8078]","[0.715, 0.6005, 0.8493]","[0.9868, 0.8987, 0.8525]","[0.9456, 0.9399, 0.8112]","[0.6782, 0.5637, 0.8126]","[None, None, None]"
TRX.TA,"[-1.0, -1.0, -1.0]","[0.5494, 0.4413, 0.5372]","[0.8329, 0.9411, 0.8451]","[-1.0, -1.0, -1.0]","[0.9481, 0.9437, 0.9603]","[0.6644, 0.7725, 0.6765]","[0.5859, 0.4777, 0.5737]","[None, None, None]"
TSEM.TA,"[-0.319, -0.3285, -0.1934]","[-1.0, -1.0, -1.0]","[0.4907, 0.4812, 0.6163]","[0.5492, 0.5587, 0.4236]","[0.9776, 0.9681, 0.8968]","[0.9527, 0.9622, 0.8271]","[-1.0, -1.0, -1.0]","[0.9936, 0.9841, 0.8808]"
UMH.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VRDS.TA,"[-0.3308, -0.2481, -0.2632]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]"
VCTR.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.4419, 0.4397, 0.6158]","[0.9693, 0.9715, 0.7953]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
XTLB.TA,"[None, -1.0, -1.0]","[None, None, None]","[None, 0.866, -0.0896]","[None, 0.7016, -0.254]","[None, 0.9666, 0.011]","[None, None, None]","[None, None, None]","[None, 0.3269, 0.7175]"
YBOX.TA,"[-0.3932, -0.4144, -0.4086]","[-0.7372, -0.716, -0.7218]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.4834, 0.5046, 0.4988]","[0.4843, 0.4631, 0.4689]","[-1.0, -1.0, -1.0]","[None, None, None]"
