,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
OVRS.TA,105.75,88.01,85.71,114.02,4.52,-2.32,-29.4,10.03,0.3,,89.17,-112.82,-105.31,,
PLRM.TA,100.35,46.1,,100.65,-7.35,5.18,,,3.03,62.6,,,,,19.17
PAZ.TA,126.46,,,95.81,1.85,2.98,-4.94,,-0.9,,,,,,
PERI.TA,22.14,114.25,111.11,,4.71,5.55,,,4.22,129.25,8.38,29.45,-96.01,3.53,
PTCH.TA,,,,,-6.09,-34.35,,,47.41,,,,,,
PHOE.TA,,-100.0,,,-97.3,-97.11,,-0.6,-100.04,,,,,,
PLCR.TA,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0
PPIL.TA,116.07,102.55,100.0,115.79,-4.32,1.35,-27.22,65.08,2.72,160.58,,,,0.0,
PLUR.TA,,-147.89,-148.48,,-11.34,11.13,,,-15.94,-149.64,-127.72,180.33,328.0,0.88,
POLI.TA,,-101684.96,,,88627.03,294327.32,,93631.6,93954.71,,,,,,
POLP.TA,113.26,132.35,130.59,,10.26,17.69,,,1.01,,,,,0.0,100.0
PRTC.TA,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,
PPBT.TA,,-55.47,-55.26,,-6.67,-36.34,-3.86,-2.73,-4.39,-54.3,,,,0.44,
RMN.TA,777.03,204845.05,,264269.75,75443.99,,79159.3,55421.74,102156.82,,,,,,
RMLI.TA,301.21,272.68,,297.61,-2.44,3.01,,,3.54,,8.36,-138.68,-313.18,,
RATI.TA,102.23,662.71,683.33,,3.64,1.39,,,13.96,101.99,87.99,-10.56,,,
RTPT.TA,,,,,,,,,,,,,,,
RAVD.TA,,,,,0.0,0.0,828.87,0.0,0.0,,,,,,
RZR.TA,158.13,,,416.11,0.0,0.0,0.0,0.0,0.0,,,,,,
RIT1.TA,,,,,6.21,,,,2.23,,,,,,
