,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
STRS.TA,115.83,110.41,110.86,120.05,-141.88,102.83,11.01,123811.56,5.9,,,40.55,16.36,,-37.39
SMT.TA,-40.72,-117.48,0.0,,-494245.0,132470.39,-0.35,0.35,-99.9,,316745.76,,,0.05,
SNFL.TA,-0.25,208.94,0.0,-27.49,48.16,0.0,4.42,15.47,23.44,,0.0,55.48,-0.3,,187.5
SNCM.TA,-18.9,-42.59,-38.57,-72.9,57.79,132.1,-10.12,1.61,2.17,0.0,,-75.64,-3.14,0.0,-46.0
SNEL.TA,95.8,107.77,99.34,127.28,-128.34,,-0.25,172.24,4.87,,738.55,,,,
TMRP.TA,,114.55,,97.11,-1030.2,-221.34,1.55,0.8,3.36,0.0,,,3.39,0.0,-34.21
TRA.TA,99900.0,-99900.0,336368.08,-309366.29,-609.32,99900.0,99900.0,648501.17,99900.0,,-12602.51,413292.05,10073.62,,0.0
TFRLF.TA,119.07,160.12,107.27,124.78,-1613.02,143.91,1.97,387.76,5.41,,43.55,-20.35,-3.69,,160.0
TRLT.TA,,,,,,,,,,,,,,,
TRX.TA,110.69,92.18,120.49,144.33,229.14,-110.92,-1.9,76.62,2.02,,296.67,0.0,23.15,,77.78
TEVA.TA,5.93,-338.05,13.53,-32400.0,66.85,-7.79,-0.83,44.83,-1.93,,223.45,93.55,-4.93,0.45,-327.78
ILCO.TA,-12.58,-40.17,,-84.82,,,-3.81,-8.21,138.48,,,-70.66,-8.98,,
TTAM.TA,10.69,51.04,10.48,33.68,-41.55,-2891.18,0.1,-7.47,26.05,59.75,,,,,66.67
TOEN.TA,99.06,143.85,,,-244.08,0.0,-11.22,67.24,1.93,,162.42,62.99,-5.5,,125.0
TOPS.TA,-99.58,-99.6,-99.57,-99.65,95.89,99.79,-99.9,-99.91,-99.89,,,-99.9,-99.9,,288.89
TRPZ.TA,99.07,83.54,94.89,85.12,-23.88,-60.87,-2.14,52.16,2.54,0.0,,,,,66.67
WATR.TA,,,,,,,,,,,,,,,
WILC.TA,-14.66,-54.63,-34.75,-92.31,19.87,-5719.77,-5.19,-42.05,0.95,,104.61,,,0.0,-48.72
