,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
RIMO.TA,37.03,12.64,5.82,-11.87,3.55,0.0,0.0,0.0,204.31,-7.15,,,,77.34,-0.2
SPNS.TA,-99.9,-99.9,0.0,-99.9,-99.9,99.47,-99.89,-99.9,,-99.89,-99.92,-99.9,-99.9,-99.89,-99.9
SCOP.TA,11.93,62.01,308.08,15.44,36.71,-33.06,6.82,1.25,0.06,4.35,,,,,
SHAN.TA,25.59,0.0,0.0,-41.03,-18.35,-9.75,-59.71,-1.28,-35.78,4.17,34.69,,,-100.0,
SPEN.TA,,,,,,,,,,,,,,,
SHOM.TA,0.0,0.0,0.0,,-32.71,620564.86,-102.92,-3.02,14.96,6.85,,,-76.04,,
SAE.TA,53.13,57.06,57.75,52.31,213.02,13.37,-119.17,6.41,5.87,4.95,,,0.49,0.0,
SKLN.TA,135228.76,-119084.11,-15.38,,298366.93,-130805.46,87940.18,96747.94,96107.68,88402.03,-193461.5,,472002.83,,
SMT.TA,,,,,,,,6.84,8.05,17.14,,,,,
SNCM.TA,30.17,730.76,700.0,61.37,77.52,170.98,-2479.05,-3.73,-60.86,3.55,,,-7.56,,0.0
TMRP.TA,72.33,106.21,106.9,,12.72,-66.91,-88.26,-2.28,-5.46,10.91,,2.98,-5.01,,0.0
TFRLF.TA,,50.85,50.0,204.62,77.78,-163.99,81.89,7.92,23.87,5.69,,17.66,-14.78,,
TEVA.TA,2.0,-3206.43,-3153.85,5.05,-2609.83,27.79,74.96,-9.55,-31.03,-30.75,12.45,27.71,-4.47,,-0.36
ILCO.TA,47.74,-11.19,,,,,,1.05,0.82,1.51,,,32.24,,
TTAM.TA,50.6,59.53,59.09,52.51,53.26,,,4.05,3.43,39.38,,,,-35.55,
TSEM.TA,0.07,-20.01,-22.22,-7.83,-13.23,,,-1.06,-6.94,1.54,2.99,8.85,4.32,,1.44
VCTR.TA,-46.84,-41.77,-42.41,-47.17,,-17.18,-244.58,3.87,0.64,10.53,-61.01,,,50.0,
VTNA.TA,96.78,9.95,-97.83,45.15,,-10.99,6.22,0.35,-14.72,0.04,5.25,-6.68,-69.64,0.0,
WILC.TA,7.39,44.08,41.74,-13.92,-17.16,,,12.53,11.7,12.68,18.49,,,,4.92
XTLB.TA,,-148.61,-100.0,,-45.78,,,-8.53,-6.19,-8.6,,,,,0.0
