,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
PLSN.TA,52.41,40.82,41.67,48.28,-3.73,-6.03,-14.7,-9.54,40.34,,,,21.94,0.0,
PLCR.TA,0.0,-131.51,-3.28,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-200.0,
PPIL.TA,53.11,77.81,54.55,52.87,-2.96,-54.24,-5.37,1.0,,,,,-10.67,,0.0
PLUR.TA,0.0,-67.74,-59.76,0.0,51.49,-0.69,,65.59,-65.22,-52.41,-202.43,2781.0,,,22.84
POLI.TA,44.36,25.47,,,-11.23,-11.25,,1.61,,,,,,,
POLP.TA,47.95,43.09,42.35,,3.05,6.88,22.83,1.08,,,,,269.07,75.0,
PRSK.TA,0.0,0.0,0.0,0.0,0.0,-55.8,0.0,,0.0,,,,33.71,,
PRTC.TA,-28.47,-56.57,-58.06,,0.0,0.0,,0.0,,,,,,,
PPBT.TA,,69.17,66.1,,-3.74,-2.59,0.0,-3.38,68.93,,,,-6.94,,0.33
RMN.TA,61.36,18.82,,53.4,37.59,,38.59,27.35,,,,,193.89,10.12,
RMLI.TA,-74.9,-75.97,,-74.66,2.1,2.73,,-1.73,,62.95,-77.76,-50.57,,,
RPAC.TA,58.36,,45.33,70.59,26.21,,,-22.07,82.56,21.4,,,,,0.0
RATI.TA,55.53,15.76,14.89,,-3.18,-4.85,,3.64,,-4.69,-2.37,,,,
RTPT.TA,,0.0,0.0,,-3.03,-71.33,,-0.24,,-8.33,-0.7,0.0,,,
RAVD.TA,,,,,0.0,16.01,0.0,0.0,,,,,17.45,,
RVL.TA,0.0,0.0,0.0,0.0,0.0,55.56,,0.0,,64.57,-59.43,-56.19,,0.0,-9.2
RZR.TA,26.07,,,-21.85,0.0,0.0,,0.0,,,,,,,
RIT1.TA,,,,,-0.18,,,1.79,,,,,,,
REKA.TA,-28.52,-69.47,,-33.45,0.0,-34.62,0.0,0.0,-57.7,,,,0.0,,
RTEN.TA,58.4,59.28,,57.98,,,,,,0.0,136.97,-117.23,,,
SPNS.TA,2.97,27.68,26.32,3.59,0.77,-1.34,,2.51,22.97,-62.29,-362.85,-2.53,0.03,-200.01,0.11
SCOP.TA,-1.72,1.4,0.46,2.07,-1.88,-1.84,,-2.0,1.83,,,,,99.76,
SLARL.TA,57.66,-57.35,,,-70.98,-67.45,35.61,-97.96,-70.59,181.87,92.4,-1416.85,-93.72,,
SHGR.TA,-14.06,-276.4,,-30.68,48.34,20.21,,-1.76,-74.72,-29.7,-1045.78,-25.47,,0.0,
SPEN.TA,0.0,36.61,0.0,0.0,4.66,0.0,,-0.24,0.0,,,,,,
SKBN.TA,49.68,771.6,,55.2,0.21,,,3.25,93.39,,,,,,
SHOM.TA,,0.0,0.0,,7.59,6.7,,11.17,,,,,,-200.0,
SAE.TA,-99.85,-99.86,36.14,-99.85,-99.89,-99.89,,-99.9,-99.85,-99.78,99.84,-99.95,,-99.9,
SKLN.TA,-99.82,-98.61,2133.33,,-99.9,-99.9,,-99.87,,,99.78,99.34,,,
STRS.TA,54.78,,62.04,,4.61,,,,59.88,,,,,,
SMT.TA,,,,,-99.91,,,-99.89,,,,,,,
TDRN.TA,58.66,57.12,52.26,54.93,-18.28,1.65,,-3.94,56.81,,,,,,
TMRP.TA,79.93,244.96,1328.57,,-2.23,-4.59,-20.75,4.99,,75.94,38.56,-95.22,-3.4,0.0,0.0
TAYA.TA,48.73,145.61,,,6.56,8.63,,7.07,,8.33,-150.88,-56.25,,,0.0
TFRLF.TA,42.7,0.0,0.0,11.13,9.37,,,-23.45,,-66.45,-70.19,205.03,,,
ILCO.TA,,,,,-99.9,,,-99.91,,,,,,,
TIGBUR.TA,70.67,-20.93,-19.38,50.1,0.8,14.16,-33.25,1.91,0.87,-66.88,174.42,78.32,-93.61,267.31,0.0
TOEN.TA,96.0,203.62,,,-1.36,5.87,,2.24,,115.43,-150.26,-69.76,,,
TOPS.TA,0.0,0.0,0.0,0.0,8.88,,0.0,5.06,0.0,,,,0.0,0.0,
TSEM.TA,-45.44,-36.92,-34.55,-40.8,1.06,-3.12,1.3,2.76,-33.82,-40.77,,,-9.48,,0.12
UNIT.TA,73.69,0.0,0.0,65.2,2.2,-4.56,,-0.95,,132.4,-24.96,-67.1,,0.0,
VRDS.TA,87.28,318.53,320.34,103.63,0.0,0.0,,0.0,109.7,,,,,-200.0,0.0
VCTR.TA,50.1,42.68,,50.04,1.16,-1.0,,3.36,,,,,,0.0,
VILR.TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.08,0.0,,
VTNA.TA,,,,62.01,6.01,,-57.41,1.16,,210.73,-104.96,92.67,179.94,-250.0,
WLFD.TA,0.0,0.0,,0.0,-1.13,,,-36.76,0.0,-17.94,151.92,-153.65,,,0.0
WILC.TA,,,,,,,,,,,,,,,0.0
YBOX.TA,-40.5,-73.81,-76.15,11.32,7.29,9.0,-14.77,4.04,,45.73,-162.09,44.82,1.1,,
ZUR.TA,0.0,0.0,,,0.0,,,-79.45,,,,,,50.0,0.0
