,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
REKA.TA,37.44,355.13,21.79,29.31,23.65,,48.66,1312.58,14.32,16.93,1.33,,,,
RIMO.TA,-99.86,-99.87,29.06,-99.87,-99.87,,99.98,99.82,-99.9,-99.96,-99.9,,-99.88,-99.9,
SPNS.TA,292.14,261.66,261.11,289.18,272.02,248.73,-503.99,199.68,29.83,-36.34,51.72,-0.01,0.0,1.12,0.0
SCOP.TA,398051.26,369654.11,46.53,395815.24,381440.95,,-118470.72,120897.99,100234.6,93877.01,84937.2,,,,
SHAN.TA,-99.62,-99.81,,-99.64,-99.66,,99.77,-99.56,-99.9,-99.87,-99.9,,,1.31,
SPEN.TA,,,,,,,,,,,,,,,
SKBN.TA,36.34,372.9,,51.33,-40.35,,,,2.66,2.21,229.01,,30.57,,
SKLN.TA,21.08,-14.52,-21.11,,15.7,-36.87,-75.52,-34.08,-1.07,-4.49,1.9,83.58,,,-56.14
SMT.TA,,,,,,,,,53266.49,84139.15,,,,,
SNCM.TA,-99.67,-99.79,125.0,-99.7,-99.73,,-100.06,100.18,-99.89,-99.85,-99.9,-99.9,,0.0,
TMRP.TA,92.18,156.29,66.67,,,,-46.5,,-6.75,0.93,12.64,-0.76,,-0.27,
TFRLF.TA,-99.86,-99.82,80.95,-99.85,-99.82,,99.88,-99.91,-99.89,-99.89,-99.89,-99.89,,,-99.9
TEVA.TA,319.81,8.25,8.31,317.17,17.73,296.09,19.53,-971.02,1.82,-2.32,4.51,-3.33,,-0.09,51.38
TTAM.TA,135633.77,,,137122.39,154584.86,,,,101778.89,,85550.53,,,,
TSEM.TA,11.21,103.97,107.14,30.94,72.87,5.8,4.48,69.23,5.52,11.93,2.92,23.77,,-0.68,22.83
VTNA.TA,10.15,3102.44,3533.33,50.71,,,,,-13.16,-33.5,12.54,194.38,0.0,,
WILC.TA,305.81,138.4,138.65,327.65,311.43,127.57,-185.88,-1.18,2.25,9.17,2.38,136.16,,-3.12,
YBOX.TA,136.86,1282.25,600.0,37.65,3748.04,,,,11.81,253.96,21.99,,,,
