,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
PLUR.TA,-100.0,-41.27,-35.11,4.55,18.14,4.34,-16.12,-40.48,-45.03,39.74,65.99,,,,-11.43
POLI.TA,-99.98,102.4,,,-100.0,-100.0,-99.63,,,,,,,,
POLP.TA,-99.87,-99.89,,-99.87,-99.9,-99.9,-99.9,,,,,,,,
PRSK.TA,-99.92,-99.86,,-99.91,-99.88,-99.76,,,,,,,,,
PRTC.TA,-98.6,-99.66,244.23,,-99.86,-99.77,-99.88,,,,,,,,
RMN.TA,,,,,,,,,,,,,,,
RMLI.TA,-99.6,-99.5,,-99.59,-99.9,-99.9,-99.88,,-99.92,99.83,99.87,,,,
RANI.TA,,,,,,,,,,,,,,,
RPAC.TA,-99.86,-99.91,93.58,-99.85,-99.92,,-99.83,-99.91,-99.83,,,,,,-52.71
RATI.TA,29.54,27.12,27.78,,1.82,3.5,-4.5,,42.37,-15.82,251.71,,,,
RTPT.TA,,99.39,365.0,,-99.9,-99.91,-99.9,,-100.17,99.9,-99.9,,,,
RAVD.TA,,,,,-79.72,-73.57,-87.78,,,,,,-91.49,,
RVL.TA,-3.18,0.0,4.93,-12.68,0.0,-5.9,-0.9,,,60.57,-31.15,-22.34,31.08,490.57,-1.57
RZR.TA,21.23,-39.89,,-7.06,331.15,66.11,1415.51,,,,,,,,
RIT1.TA,,,,,-99.88,-99.91,-99.89,,,,,,,-99.9,
REKA.TA,39.1,100.67,,42.64,0.0,72.66,4.52,59.83,,,,,,,
RTLS.TA,-99.85,-99.77,,-99.85,-99.9,-99.9,-99.9,-99.83,,,,,,,
RIMO.TA,18.6,8.55,13.59,16.45,9.13,42.04,-6.2,,,-450.05,43.07,,,,-0.2
RTEN.TA,41.09,43.22,,35.97,19.74,105.27,,,,-1302.28,683.31,,,,
SCOP.TA,-99.61,-99.63,265.6,-99.62,-99.9,-99.91,-99.9,-99.64,,,,-99.98,-99.86,-99.86,
SLARL.TA,-99.83,-99.87,,-99.87,-99.86,-99.78,-99.77,-99.87,-100.2,98.77,100.26,-99.89,-99.43,,
SHAN.TA,-99.86,-99.85,,-99.9,-99.9,-99.94,-99.9,-99.9,,99.81,101.64,,-99.9,,
SPEN.TA,-99.89,-99.86,32.61,-99.9,-99.86,-99.86,-99.85,-99.87,,,,-99.85,-99.75,-99.9,
SKBN.TA,,,,,,,,,,,,,,,
SHOM.TA,,44.85,33.33,,25.77,30.5,7.52,,,,1489.12,,,200.0,
SAE.TA,32.4,34.13,33.63,31.97,-3.14,-4.22,3.1,27.82,,215.25,-274.55,,,0.0,
SKLN.TA,132504.75,103693.38,3.73,,87420.99,77195.74,100021.67,106769.93,,945427.95,-704118.26,,,,
SCC.TA,,,,,-28.15,-1.81,-18.78,,-24.46,0.0,18.84,,,,
SMT.TA,,,,,110130.4,,106931.23,,,,,,,,
SNEL.TA,-99.87,-99.85,78.39,-99.87,-99.9,-99.89,-99.9,-99.85,,,,,,,-99.9
TDRN.TA,-99.87,-99.87,32.46,-99.87,-99.88,-99.87,-99.89,-99.88,,,,,,,
TMRP.TA,41.89,305.72,,,3.39,2.68,5.36,,,,,,,200.0,0.0
TFRLF.TA,45.19,214.74,,56.77,4.84,-45.55,450.46,119.22,,-24.46,-48.83,25.37,24.12,,
TRX.TA,-99.85,99.53,-333.33,-99.86,-99.9,-99.88,,-99.99,,99.94,-98.69,,,,
TEVA.TA,,,,,,,,,,,,,,,
ILCO.TA,,,,,5.32,,,,,,,,,,
TIGBUR.TA,-99.88,-99.77,-50.96,-99.87,-99.89,-99.88,,-99.8,,,,,,,0.0
TGTR.TA,,,,,-15.79,,,,,,,,,,
TOEN.TA,,97.86,100.0,,5.39,0.0,2.19,43.91,46.2,112.66,0.13,,0.05,,
TOPS.TA,39.88,55.26,,40.14,17.64,219.54,11.87,45.18,,-109.31,239.92,,,50.21,
TSEM.TA,289.66,284.62,286.11,287.06,3.54,3.4,3.59,279.55,293.46,,,-20.44,8.81,,-0.07
UNIT.TA,-99.88,-99.87,-82.36,-99.88,-99.9,-99.85,-99.9,,,99.77,99.92,-99.95,-99.97,-99.9,
VRDS.TA,-99.89,-99.98,-76.21,-99.9,-99.9,-99.89,-99.9,-99.83,,99.9,100.06,,,100.1,0.0
VCTR.TA,-99.87,-99.88,,-99.87,-99.9,-99.9,-99.9,,,,,,,,
VILR.TA,-36.27,2.89,,-18.68,14.16,19.75,22.38,,,,,,0.29,0.0,
VTNA.TA,,,,37.82,7.24,4.47,11.8,,,-12.52,202.42,,6.75,155.56,
WATR.TA,12.31,111.45,,12.59,0.0,0.0,0.0,466.09,14.43,546.32,-396.62,,,,
WLFD.TA,0.03,-13.17,,-4.87,0.4,-75.32,63.55,-14.45,,-126.4,-22.3,,,-200.0,0.0
WILC.TA,,,,,,,,,,,,,,,0.0
XTLB.TA,,126.2,133.33,,-3.46,-72.09,73.21,-38.39,,,,,,,0.8
YBOX.TA,160.7,853.46,835.48,-21.8,4.13,-9.53,31.33,,,,,,,,
