Date,Ticker,Forecast,Days_Ahead
2023-11-10,HIVE.TA,[0.65094584],22
2023-11-11,HIVE.TA,[0.6101808],23
2023-11-12,HIVE.TA,[0.6280872],24
2023-11-13,HIVE.TA,[0.7926026],25
2023-11-14,HIVE.TA,[0.8551624],26
2023-11-15,HIVE.TA,[0.96931237],27
2023-11-16,HIVE.TA,[0.76251096],28
2023-11-17,HIVE.TA,[0.85435367],29
2023-11-18,HIVE.TA,[0.96171325],30
2024-12-31,HOD.TA,[5202.3984],1
2025-01-01,HOD.TA,[5444.8623],2
2025-01-02,HOD.TA,[5693.6377],3
2025-01-03,HOD.TA,[5766.612],4
2025-01-04,HOD.TA,[5935.8555],5
2025-01-05,HOD.TA,[6191.0967],6
2025-01-06,HOD.TA,[6244.798],7
2025-01-07,HOD.TA,[6348.721],8
2025-01-08,HOD.TA,[6134.096],9
2025-01-09,HOD.TA,[6284.617],10
2025-01-10,HOD.TA,[6057.1465],11
2025-01-11,HOD.TA,[6332.989],12
2025-01-12,HOD.TA,[6306.5464],13
2025-01-13,HOD.TA,[6118.0405],14
2025-01-14,HOD.TA,[6123.179],15
2025-01-15,HOD.TA,[6096.9976],16
2025-01-16,HOD.TA,[6136.845],17
2025-01-17,HOD.TA,[5902.593],18
2025-01-18,HOD.TA,[5962.365],19
